作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	7	7	8	6
2	0	6	6	7	6
3	0	4	4	10	3
4	0	0	0	8	4
5	0	0	0	10	3
6	4	6	10	9	7
7	4	5	9	10	4
8	4	10	14	10	7
9	6	9	15	10	4
10	6	6	12	5	2
11	7	5	12	7	1
12	7	2	9	7	7
13	9	8	17	9	3
14	9	3	12	5	7
15	9	6	15	9	5
16	12	8	20	8	1
17	12	7	19	10	2
18	14	9	23	5	4
19	14	5	19	7	7
20	14	8	22	7	1
21	15	1	16	9	7
22	15	7	22	6	2
23	15	2	17	7	8
24	17	7	24	10	8
25	19	10	29	8	3
26	20	9	29	8	4
27	22	5	27	5	3
28	22	8	30	7	8
29	29	7	36	6	7
30	29	7	36	8	1
31	29	8	37	6	2
32	30	3	33	8	1
33	30	5	35	6	7
34	30	7	37	8	5
35	33	9	42	9	4
36	35	3	38	10	2
37	35	9	44	9	6
38	36	5	41	6	4
39	37	3	40	8	2
40	37	2	39	10	5
41	38	2	40	10	7
42	38	10	48	10	7
43	42	2	44	8	3
44	44	10	54	6	3
45	44	4	48	5	8
46	44	2	46	8	3
47	46	7	53	8	4
48	48	2	50	8	2
49	53	4	57	8	6
50	53	5	58	8	4
51	53	1	54	7	7
52	54	10	64	8	4
53	54	6	60	8	4
54	54	6	60	7	7
55	57	7	64	9	6
56	58	6	64	6	2
57	60	7	67	5	5
58	64	5	69	6	6
59	64	8	72	5	3
60	64	3	67	6	3
