作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	8	8	8	2
2	0	5	5	5	8
3	0	8	8	9	4
4	0	0	0	8	2
5	0	0	0	8	4
6	5	2	7	5	4
7	8	10	18	6	4
8	8	10	18	6	5
9	8	2	10	6	5
10	8	6	14	7	7
11	10	10	20	7	5
12	14	3	17	8	8
13	18	7	25	5	3
14	18	10	28	6	5
15	18	9	27	8	8
16	20	8	28	9	2
17	20	3	23	9	5
18	25	8	33	5	2
19	27	9	36	6	2
20	28	10	38	10	2
21	28	4	32	9	8
22	33	8	41	10	6
23	36	2	38	9	1
24	36	6	42	9	2
25	38	9	47	10	6
26	38	9	47	8	3
27	41	9	50	9	1
28	42	10	52	9	2
29	42	5	47	7	6
30	47	4	51	7	6
31	47	8	55	10	2
32	50	3	53	10	5
33	51	8	59	8	4
34	52	2	54	8	5
35	53	4	57	7	1
36	54	10	64	7	1
37	55	2	57	9	2
38	57	2	59	10	4
39	57	8	65	10	7
40	59	10	69	8	4
41	64	7	71	10	8
42	65	5	70	10	6
43	69	1	70	7	2
44	69	3	72	9	7
45	70	2	72	7	5
46	70	6	76	9	4
47	70	2	72	9	4
48	71	10	81	5	6
49	72	2	74	9	1
50	72	3	75	8	5
51	74	4	78	8	2
52	74	8	82	5	6
53	76	1	77	10	8
54	77	1	78	6	5
55	78	3	81	7	2
56	78	9	87	8	1
57	78	8	86	6	8
58	81	9	90	7	4
59	82	9	91	8	2
60	82	10	92	10	6
