作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	7	7	7	4
2	0	7	7	9	3
3	0	3	3	9	3
4	0	0	0	7	5
5	0	0	0	8	4
6	3	8	11	10	5
7	7	3	10	9	5
8	7	1	8	10	6
9	7	9	16	6	1
10	7	7	14	6	1
11	7	5	12	9	2
12	7	7	14	9	2
13	11	1	12	6	5
14	12	4	16	7	8
15	12	5	17	9	4
16	12	9	21	8	1
17	14	6	20	7	7
18	14	8	22	9	7
19	16	2	18	6	4
20	16	1	17	5	6
21	17	4	21	6	3
22	17	1	18	5	6
23	18	6	24	8	5
24	20	7	27	5	1
25	20	8	28	10	7
26	21	10	31	5	7
27	21	8	29	8	7
28	21	5	26	9	8
29	21	9	30	8	2
30	22	5	27	5	2
31	22	2	24	5	6
32	26	5	31	9	1
33	27	2	29	10	6
34	27	10	37	5	1
35	29	1	30	10	8
36	29	1	30	9	5
37	30	2	32	10	5
38	30	4	34	10	8
39	30	10	40	10	1
40	31	2	33	10	2
41	31	2	33	10	2
42	32	9	41	7	5
43	33	6	39	10	7
44	34	6	40	6	6
45	37	10	47	5	3
46	40	6	46	10	5
47	40	7	47	8	1
48	40	7	47	6	3
49	41	5	46	10	2
50	46	3	49	9	5
51	47	7	54	10	4
52	49	1	50	10	2
53	54	5	59	5	3
54	59	7	66	10	5
55	59	8	67	5	6
56	66	6	72	6	5
57	66	2	68	6	3
58	68	5	73	10	7
59	72	10	82	8	5
60	73	4	77	8	7
