作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	6	7
2	0	8	8	6	5
3	0	6	6	10	8
4	0	0	0	5	2
5	0	0	0	10	4
6	5	7	12	9	4
7	5	8	13	6	8
8	5	4	9	8	7
9	6	2	8	6	1
10	6	3	9	7	7
11	9	9	18	6	1
12	9	8	17	10	2
13	9	2	11	10	3
14	11	3	14	6	4
15	11	9	20	6	8
16	11	8	19	10	8
17	13	1	14	5	7
18	14	3	17	9	4
19	17	7	24	6	1
20	17	5	22	9	5
21	18	6	24	9	7
22	19	9	28	7	7
23	19	7	26	5	4
24	22	9	31	10	8
25	22	6	28	10	3
26	26	4	30	5	7
27	26	8	34	8	7
28	28	6	34	8	7
29	31	7	38	9	1
30	31	8	39	5	1
31	34	9	43	9	5
32	34	2	36	5	2
33	34	10	44	7	8
34	39	2	41	10	8
35	41	10	51	6	7
36	41	3	44	9	5
37	41	5	46	5	6
38	43	5	48	6	5
39	43	3	46	9	3
40	46	3	49	6	4
41	46	8	54	7	8
42	46	8	54	5	1
43	49	1	50	10	5
44	49	4	53	6	2
45	51	3	54	9	2
46	53	10	63	6	6
47	54	2	56	7	3
48	54	6	60	10	2
49	54	7	61	9	5
50	54	4	58	5	4
51	56	9	65	5	1
52	58	2	60	5	1
53	60	9	69	10	3
54	61	4	65	9	4
55	65	10	75	8	1
56	69	8	77	6	3
57	69	3	72	9	3
58	69	4	73	5	2
59	72	6	78	5	7
60	73	1	74	5	5
