作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	6	3
2	0	5	5	6	5
3	0	5	5	6	6
4	0	0	0	10	2
5	0	0	0	7	8
6	5	2	7	9	1
7	5	9	14	10	3
8	5	1	6	7	4
9	5	1	6	6	3
10	6	2	8	8	2
11	6	7	13	8	1
12	7	6	13	5	1
13	8	4	12	5	5
14	9	7	16	10	5
15	9	2	11	10	5
16	11	10	21	7	4
17	12	5	17	10	2
18	13	2	15	9	2
19	13	1	14	6	2
20	13	10	23	6	8
21	14	10	24	5	3
22	14	2	16	7	5
23	15	2	17	7	1
24	16	8	24	6	5
25	17	8	25	8	3
26	17	2	19	9	5
27	17	10	27	7	4
28	23	8	31	9	3
29	23	8	31	7	3
30	23	3	26	9	7
31	24	6	30	6	5
32	26	8	34	5	3
33	26	10	36	9	1
34	27	4	31	7	5
35	30	4	34	9	6
36	31	3	34	5	2
37	31	6	37	10	3
38	31	5	36	5	2
39	31	1	32	9	1
40	32	9	41	5	1
41	32	1	33	7	4
42	33	5	38	5	5
43	34	3	37	8	3
44	36	3	39	10	8
45	36	8	44	8	5
46	37	4	41	9	5
47	37	4	41	6	5
48	38	5	43	5	5
49	39	6	45	8	6
50	43	3	46	6	3
51	44	7	51	6	8
52	44	4	48	8	5
53	45	6	51	8	4
54	45	6	51	7	3
55	46	9	55	6	2
56	51	2	53	8	6
57	51	9	60	9	4
58	51	8	59	6	3
59	59	2	61	6	6
60	60	6	66	7	7
