作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	4	4	10	2
2	0	10	10	10	7
3	0	7	7	6	4
4	0	0	0	8	4
5	0	0	0	7	2
6	4	3	7	10	7
7	4	6	10	6	4
8	7	8	15	8	5
9	7	9	16	9	6
10	7	6	13	8	3
11	7	3	10	8	5
12	10	7	17	7	2
13	10	8	18	5	3
14	10	10	20	9	3
15	16	6	22	6	7
16	16	9	25	10	5
17	17	9	26	7	4
18	17	3	20	5	3
19	18	5	23	5	6
20	20	5	25	9	3
21	20	5	25	5	4
22	20	7	27	6	3
23	22	6	28	5	3
24	22	8	30	6	8
25	25	10	35	8	3
26	27	7	34	5	2
27	27	8	35	5	2
28	27	2	29	8	5
29	29	6	35	7	7
30	29	2	31	6	5
31	30	6	36	9	8
32	35	9	44	10	7
33	35	9	44	9	7
34	35	7	42	10	5
35	35	6	41	7	8
36	35	7	42	8	8
37	41	9	50	8	4
38	42	8	50	7	1
39	42	8	50	10	3
40	44	10	54	6	1
41	44	5	49	10	2
42	49	5	54	6	4
43	50	7	57	7	2
44	50	4	54	6	7
45	50	2	52	9	8
46	50	3	53	6	2
47	52	9	61	5	5
48	53	1	54	9	6
49	54	9	63	6	3
50	54	10	64	8	4
51	54	7	61	10	5
52	57	4	61	9	4
53	61	5	66	8	6
54	61	9	70	8	6
55	64	2	66	5	1
56	66	4	70	10	4
57	70	5	75	6	4
58	70	2	72	5	2
59	70	8	78	8	2
60	72	8	80	7	7
