作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	9	8
2	0	10	10	5	8
3	0	2	2	8	2
4	0	0	0	10	3
5	0	0	0	9	1
6	2	4	6	6	6
7	5	4	9	9	7
8	5	9	14	8	5
9	5	2	7	7	1
10	7	2	9	7	8
11	9	4	13	5	1
12	9	4	13	8	5
13	9	7	16	7	8
14	10	7	17	10	4
15	14	1	15	5	1
16	14	5	19	5	8
17	15	8	23	7	7
18	16	9	25	7	1
19	17	8	25	9	7
20	19	1	20	9	6
21	19	4	23	7	3
22	20	1	21	9	7
23	23	10	33	8	4
24	23	1	24	6	7
25	25	3	28	7	3
26	25	7	32	7	2
27	25	9	34	10	8
28	28	7	35	9	5
29	32	8	40	6	2
30	33	1	34	9	2
31	34	9	43	7	2
32	34	3	37	5	8
33	34	1	35	8	7
34	35	2	37	7	4
35	35	8	43	5	6
36	37	3	40	6	6
37	40	2	42	5	7
38	40	2	42	8	2
39	40	10	50	9	3
40	42	1	43	7	2
41	42	9	51	5	5
42	42	6	48	8	5
43	43	5	48	8	7
44	43	6	49	10	2
45	48	1	49	6	8
46	48	8	56	8	3
47	49	2	51	10	6
48	49	5	54	10	6
49	50	6	56	9	5
50	51	1	52	9	8
51	51	2	53	7	1
52	51	8	59	6	5
53	52	3	55	10	6
54	53	9	62	9	5
55	56	6	62	10	6
56	56	3	59	7	4
57	59	5	64	9	1
58	59	5	64	10	2
59	62	10	72	6	7
60	62	7	69	6	3
