作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	3	3	8	8
2	0	1	1	9	4
3	0	3	3	7	8
4	0	0	0	8	8
5	0	0	0	6	5
6	1	5	6	9	6
7	1	8	9	10	6
8	3	1	4	5	6
9	3	10	13	5	6
10	3	2	5	8	1
11	3	10	13	9	7
12	3	8	11	5	3
13	4	3	7	6	4
14	6	10	16	6	4
15	11	6	17	6	4
16	11	8	19	6	6
17	11	10	21	7	8
18	13	2	15	7	5
19	16	5	21	8	4
20	16	4	20	9	8
21	17	4	21	9	4
22	19	9	28	10	3
23	20	4	24	6	1
24	20	10	30	10	1
25	21	9	30	7	5
26	21	6	27	5	8
27	21	6	27	7	2
28	27	6	33	6	4
29	27	8	35	6	2
30	28	1	29	9	2
31	28	5	33	9	8
32	28	5	33	6	2
33	30	10	40	7	5
34	30	7	37	6	6
35	30	1	31	6	4
36	31	1	32	6	6
37	31	5	36	7	2
38	33	8	41	5	2
39	35	5	40	7	4
40	36	1	37	6	1
41	36	8	44	8	2
42	37	8	45	10	6
43	37	7	44	8	3
44	40	3	43	7	1
45	41	9	50	7	1
46	44	4	48	5	2
47	44	8	52	6	3
48	44	10	54	9	7
49	48	4	52	5	4
50	50	1	51	8	3
51	50	1	51	9	4
52	51	2	53	6	5
53	52	2	54	9	7
54	53	2	55	9	8
55	54	4	58	6	3
56	54	5	59	9	6
57	58	2	60	5	2
58	59	1	60	7	5
59	59	2	61	6	8
60	60	1	61	5	8
