作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	7	6
2	0	7	7	10	5
3	0	8	8	5	4
4	0	0	0	5	2
5	0	0	0	7	8
6	6	2	8	6	4
7	7	6	13	7	8
8	7	4	11	9	4
9	7	7	14	7	5
10	8	1	9	10	7
11	8	7	15	8	3
12	8	7	15	7	2
13	11	5	16	10	2
14	11	6	17	10	7
15	14	10	24	10	1
16	14	7	21	5	4
17	14	10	24	8	1
18	15	3	18	5	4
19	17	3	20	10	8
20	17	9	26	10	1
21	24	9	33	10	2
22	24	4	28	7	3
23	24	8	32	8	1
24	24	4	28	6	6
25	26	9	35	10	8
26	28	4	32	10	8
27	28	1	29	7	2
28	29	10	39	5	6
29	29	4	33	5	2
30	32	5	37	8	7
31	32	4	36	6	2
32	33	9	42	5	8
33	35	8	43	6	7
34	35	4	39	6	3
35	36	7	43	6	7
36	36	6	42	8	7
37	37	6	43	10	3
38	42	3	45	7	7
39	42	2	44	10	3
40	43	8	51	9	3
41	43	3	46	8	2
42	43	6	49	6	1
43	44	3	47	8	1
44	44	3	47	8	8
45	45	8	53	7	1
46	45	5	50	10	8
47	46	5	51	8	2
48	46	7	53	10	7
49	47	4	51	6	8
50	50	10	60	9	5
51	51	4	55	7	2
52	51	10	61	8	3
53	53	9	62	7	2
54	53	1	54	7	5
55	53	3	56	6	6
56	56	7	63	6	6
57	61	8	69	5	7
58	61	4	65	8	3
59	62	9	71	9	1
60	63	8	71	6	1
