作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	8	4
2	0	4	4	5	6
3	0	4	4	8	2
4	0	0	0	10	3
5	0	0	0	5	7
6	4	3	7	7	5
7	4	1	5	9	6
8	4	10	14	8	2
9	5	10	15	10	3
10	5	6	11	7	5
11	11	10	21	10	3
12	14	5	19	8	2
13	14	10	24	7	7
14	15	7	22	8	7
15	15	9	24	6	4
16	19	2	21	10	7
17	21	1	22	9	5
18	21	1	22	7	8
19	22	10	32	6	3
20	22	7	29	9	8
21	22	8	30	7	2
22	22	5	27	7	1
23	24	6	30	5	4
24	24	4	28	8	4
25	24	8	32	6	7
26	24	3	27	5	8
27	27	8	35	7	5
28	27	8	35	8	6
29	27	10	37	5	4
30	27	8	35	8	3
31	30	9	39	9	7
32	30	6	36	8	5
33	32	4	36	8	4
34	35	7	42	10	7
35	36	3	39	9	8
36	36	3	39	6	2
37	36	7	43	10	1
38	37	10	47	10	3
39	37	8	45	9	7
40	39	1	40	9	2
41	39	10	49	6	1
42	40	6	46	5	7
43	43	7	50	9	3
44	46	9	55	6	4
45	47	3	50	6	1
46	47	10	57	6	8
47	49	9	58	6	8
48	50	8	58	7	8
49	57	7	64	8	8
50	58	2	60	9	8
51	58	4	62	8	3
52	60	9	69	10	6
53	60	9	69	9	1
54	62	4	66	9	1
55	64	5	69	9	1
56	64	8	72	8	7
57	66	5	71	8	8
58	69	9	78	8	6
59	72	5	77	7	8
60	72	1	73	9	2
