作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	9	6
2	0	10	10	10	7
3	0	6	6	9	7
4	0	0	0	9	1
5	0	0	0	5	1
6	6	8	14	8	3
7	6	9	15	9	3
8	9	5	14	6	3
9	9	1	10	5	8
10	9	9	18	10	8
11	10	7	17	10	4
12	14	8	22	5	7
13	14	4	18	8	8
14	14	3	17	8	8
15	17	9	26	9	6
16	18	6	24	9	6
17	18	10	28	7	3
18	18	7	25	9	3
19	22	3	25	7	1
20	24	8	32	5	1
21	25	7	32	5	2
22	26	6	32	7	1
23	26	6	32	9	7
24	28	4	32	9	5
25	32	1	33	6	8
26	32	1	33	10	3
27	32	10	42	5	3
28	32	8	40	10	7
29	32	7	39	9	8
30	33	9	42	6	8
31	33	6	39	8	7
32	39	3	42	6	1
33	40	9	49	8	4
34	42	2	44	10	2
35	42	7	49	8	4
36	42	6	48	8	1
37	42	8	50	10	1
38	44	8	52	7	7
39	48	6	54	7	7
40	49	8	57	5	3
41	50	4	54	6	1
42	50	1	51	7	6
43	51	10	61	9	4
44	54	5	59	6	4
45	54	3	57	7	6
46	57	1	58	7	6
47	57	4	61	9	4
48	57	8	65	8	3
49	58	5	63	9	1
50	59	2	61	6	8
51	61	8	69	9	5
52	61	10	71	6	3
53	63	9	72	9	2
54	65	8	73	8	8
55	69	7	76	7	3
56	71	3	74	8	1
57	71	9	80	9	4
58	72	9	81	8	2
59	74	5	79	8	7
60	76	1	77	8	7
