作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	7	7	5	7
2	0	3	3	5	7
3	0	5	5	10	3
4	0	0	0	8	5
5	0	0	0	10	8
6	3	9	12	5	3
7	3	7	10	5	3
8	5	7	12	7	3
9	5	2	7	10	4
10	10	3	13	6	7
11	10	9	19	5	2
12	10	7	17	9	7
13	12	2	14	9	5
14	12	8	20	10	7
15	14	8	22	8	5
16	17	6	23	8	8
17	19	6	25	6	3
18	20	6	26	9	5
19	22	7	29	10	3
20	23	1	24	8	1
21	25	10	35	7	2
22	26	8	34	7	4
23	26	6	32	8	1
24	29	4	33	6	5
25	29	6	35	8	7
26	32	9	41	10	8
27	32	7	39	10	8
28	34	5	39	9	6
29	35	2	37	5	2
30	37	5	42	7	6
31	39	8	47	9	2
32	39	10	49	7	1
33	41	7	48	9	8
34	42	7	49	5	6
35	47	7	54	8	5
36	47	6	53	8	1
37	48	9	57	6	7
38	49	10	59	9	2
39	49	10	59	7	6
40	53	2	55	10	6
41	54	6	60	8	3
42	55	5	60	10	1
43	57	2	59	5	5
44	59	6	65	6	6
45	59	6	65	10	5
46	59	2	61	6	5
47	60	10	70	8	3
48	61	10	71	7	4
49	65	9	74	5	3
50	65	8	73	6	4
51	65	7	72	7	8
52	70	9	79	5	6
53	71	8	79	7	5
54	73	1	74	9	1
55	74	7	81	10	7
56	74	3	77	9	1
57	74	4	78	9	3
58	77	5	82	8	2
59	78	7	85	6	5
60	79	10	89	10	6
