作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	10	10	9	2
2	0	1	1	10	2
3	0	8	8	9	4
4	0	0	0	9	7
5	0	0	0	6	2
6	1	8	9	5	8
7	1	2	3	10	1
8	3	1	4	5	5
9	8	9	17	8	6
10	8	5	13	10	7
11	9	10	19	8	8
12	10	1	11	5	7
13	10	9	19	5	7
14	10	9	19	8	5
15	10	6	16	6	6
16	13	7	20	5	7
17	16	3	19	5	3
18	16	5	21	10	6
19	19	6	25	9	5
20	19	1	20	5	6
21	19	3	22	9	2
22	19	8	27	8	1
23	19	1	20	7	3
24	20	9	29	8	7
25	20	9	29	6	7
26	20	6	26	9	8
27	21	3	24	6	1
28	22	10	32	7	8
29	22	3	25	5	7
30	24	2	26	7	2
31	24	3	27	6	2
32	26	3	29	5	1
33	26	10	36	10	3
34	27	3	30	10	7
35	29	6	35	9	2
36	29	4	33	10	4
37	29	9	38	9	8
38	32	1	33	6	6
39	33	4	37	6	5
40	36	6	42	7	7
41	36	9	45	10	3
42	37	10	47	8	7
43	38	8	46	6	2
44	38	6	44	6	8
45	42	4	46	6	2
46	44	2	46	7	1
47	45	7	52	6	5
48	46	1	47	10	7
49	46	3	49	5	6
50	46	6	52	7	2
51	52	8	60	9	6
52	52	2	54	5	4
53	52	8	60	10	6
54	54	4	58	6	6
55	58	10	68	9	5
56	58	10	68	8	8
57	60	3	63	9	3
58	63	4	67	7	2
59	67	10	77	7	4
60	68	1	69	6	7
