作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	1	1	9	6
2	0	6	6	7	3
3	0	7	7	5	6
4	0	0	0	10	5
5	0	0	0	6	1
6	1	5	6	6	3
7	6	10	16	10	6
8	6	6	12	5	6
9	6	8	14	8	5
10	7	1	8	5	6
11	12	6	18	7	1
12	12	4	16	6	6
13	12	3	15	7	3
14	14	1	15	7	7
15	14	3	17	10	7
16	14	1	15	5	3
17	15	9	24	10	6
18	15	1	16	8	7
19	15	8	23	5	2
20	16	7	23	5	6
21	16	6	22	5	3
22	16	8	24	8	4
23	16	6	22	5	2
24	16	1	17	10	5
25	17	2	19	7	2
26	18	5	23	6	2
27	19	5	24	7	8
28	22	5	27	6	6
29	23	7	30	5	1
30	23	7	30	6	2
31	23	9	32	6	2
32	24	2	26	5	1
33	24	6	30	6	7
34	27	5	32	9	5
35	27	5	32	5	1
36	27	1	28	7	7
37	30	6	36	8	1
38	30	9	39	5	7
39	30	8	38	5	8
40	30	8	38	5	1
41	32	1	33	10	8
42	32	3	35	7	3
43	33	10	43	5	6
44	35	4	39	6	2
45	38	6	44	7	3
46	39	6	45	5	4
47	39	7	46	7	8
48	43	1	44	5	7
49	43	8	51	6	1
50	44	9	53	10	7
51	44	5	49	10	5
52	46	4	50	10	8
53	46	1	47	9	4
54	47	4	51	7	2
55	49	9	58	8	6
56	50	6	56	10	3
57	51	5	56	5	1
58	51	8	59	7	3
59	56	1	57	8	7
60	59	3	62	9	5
