作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	3	3	8	3
2	0	5	5	9	7
3	0	2	2	6	2
4	0	0	0	8	3
5	0	0	0	9	7
6	2	3	5	10	8
7	2	7	9	9	6
8	3	2	5	5	6
9	3	4	7	9	5
10	5	8	13	5	2
11	5	9	14	9	2
12	5	3	8	7	8
13	7	1	8	5	5
14	7	9	16	5	2
15	8	1	9	8	4
16	8	4	12	8	6
17	9	10	19	5	7
18	12	5	17	8	1
19	14	1	15	7	5
20	14	1	15	9	4
21	14	7	21	9	6
22	15	9	24	7	3
23	16	9	25	7	3
24	17	7	24	5	8
25	19	1	20	5	8
26	19	7	26	7	8
27	20	2	22	5	2
28	21	7	28	8	3
29	24	8	32	7	5
30	24	10	34	10	2
31	25	9	34	6	1
32	26	2	28	6	2
33	26	1	27	7	1
34	27	1	28	8	1
35	28	4	32	10	5
36	28	6	34	6	5
37	28	5	33	7	3
38	32	10	42	7	4
39	33	10	43	8	4
40	34	8	42	5	1
41	34	5	39	5	2
42	39	2	41	6	1
43	39	10	49	6	6
44	41	10	51	9	4
45	42	3	45	7	6
46	42	5	47	5	1
47	43	9	52	7	2
48	45	4	49	7	6
49	45	1	46	5	4
50	47	5	52	10	3
51	49	8	57	7	4
52	49	1	50	10	5
53	51	2	53	9	6
54	52	4	56	10	2
55	52	7	59	10	5
56	57	3	60	5	2
57	59	7	66	5	3
58	59	6	65	5	7
59	59	6	65	10	2
60	60	8	68	9	5
