作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	5	6
2	0	1	1	5	8
3	0	4	4	5	8
4	1	2	3	2	5
5	1	5	6	4	10
6	2	6	8	4	4
7	3	9	12	1	10
8	3	10	13	3	7
9	3	6	9	3	8
10	3	5	8	3	2
11	4	1	5	2	1
12	5	8	13	3	1
13	7	3	10	2	9
14	8	7	15	3	5
15	9	2	11	2	9
16	10	9	19	3	7
17	11	9	20	2	8
18	11	2	13	4	7
19	12	4	16	4	5
20	12	7	19	5	4
21	14	4	18	3	9
22	15	6	21	5	10
23	15	3	18	3	8
24	15	4	19	1	10
25	16	8	24	5	6
26	16	6	22	2	8
27	16	9	25	5	8
28	17	9	26	2	10
29	17	9	26	5	4
30	17	9	26	5	9
31	17	8	25	1	1
32	18	1	19	5	3
33	19	7	26	1	1
34	19	2	21	1	4
35	19	6	25	4	10
36	20	3	23	3	6
37	20	9	29	1	9
38	20	8	28	1	3
39	21	10	31	5	5
40	21	9	30	2	6
41	21	5	26	1	10
42	22	2	24	4	2
43	22	10	32	5	10
44	22	10	32	3	5
45	22	5	27	1	2
46	23	4	27	3	6
47	24	8	32	4	1
48	25	9	34	4	9
49	26	8	34	3	3
50	26	7	33	3	7
51	27	2	29	3	1
52	28	8	36	1	1
53	28	5	33	1	8
54	28	7	35	3	8
55	29	5	34	1	2
56	29	9	38	2	9
57	29	9	38	4	4
58	29	5	34	1	5
59	31	7	38	4	2
60	32	5	37	5	7
61	32	2	34	1	3
62	33	7	40	2	1
63	33	1	34	2	3
64	33	3	36	4	5
65	33	7	40	3	3
66	34	10	44	2	1
67	34	2	36	1	1
68	35	1	36	1	10
69	35	9	44	3	4
70	35	5	40	4	3
71	35	4	39	3	2
72	36	5	41	3	9
73	37	9	46	2	2
74	37	5	42	1	6
75	37	3	40	1	1
76	37	1	38	3	10
77	39	4	43	4	3
78	39	7	46	4	7
79	39	10	49	2	10
80	40	7	47	5	10
81	41	8	49	1	3
82	41	8	49	4	6
83	42	9	51	2	3
84	42	2	44	2	7
85	42	1	43	2	9
86	43	4	47	3	6
87	43	3	46	3	6
88	43	2	45	3	3
89	44	6	50	4	9
90	44	1	45	4	10
