作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	8	8	11	1
2	0	6	6	13	7
3	1	3	4	9	8
4	2	10	12	7	4
5	2	8	10	7	3
6	3	1	4	1	6
7	3	1	4	4	6
8	3	7	10	10	7
9	4	7	11	14	7
10	4	4	8	14	10
11	5	7	12	1	5
12	6	5	11	11	5
13	6	4	10	12	9
14	8	5	13	2	10
15	8	5	13	12	10
16	8	9	17	9	7
17	8	10	18	14	6
18	9	9	18	9	10
19	9	8	17	3	8
20	9	10	19	5	3
21	9	6	15	1	10
22	9	6	15	7	3
23	10	9	19	10	1
24	10	4	14	3	1
25	10	6	16	3	6
26	11	9	20	9	8
27	11	9	20	14	5
28	11	7	18	6	5
29	11	9	20	11	7
30	13	8	21	11	1
31	13	6	19	9	4
32	14	10	24	11	2
33	17	7	24	15	10
34	17	5	22	13	1
35	17	6	23	6	3
36	17	3	20	11	8
37	18	4	22	1	10
38	18	9	27	13	4
39	19	8	27	14	10
40	19	10	29	5	6
41	20	1	21	3	3
42	20	8	28	10	3
43	20	1	21	2	9
44	21	8	29	2	2
45	22	7	29	11	10
46	23	7	30	3	9
47	24	6	30	6	3
48	24	8	32	6	1
49	25	10	35	14	2
50	25	5	30	1	10
51	25	5	30	11	2
52	26	9	35	2	9
53	26	10	36	13	2
54	26	2	28	4	2
55	26	5	31	1	3
56	27	3	30	4	5
57	27	10	37	9	10
58	27	7	34	13	9
59	28	9	37	14	6
60	28	5	33	3	10
61	29	10	39	7	5
62	29	3	32	11	8
63	33	6	39	13	2
64	33	7	40	7	3
65	33	6	39	1	9
66	34	4	38	10	8
67	34	6	40	6	10
68	35	4	39	12	7
69	36	9	45	14	5
70	36	1	37	5	8
71	36	9	45	3	5
72	36	3	39	10	4
73	37	6	43	12	8
74	38	5	43	2	8
75	38	7	45	14	6
76	38	9	47	4	5
77	40	10	50	14	2
78	41	1	42	6	7
79	41	7	48	4	1
80	41	3	44	12	2
81	42	4	46	13	6
82	43	9	52	12	1
83	43	5	48	12	1
84	43	1	44	4	5
85	44	7	51	11	4
86	45	2	47	8	7
87	45	1	46	8	9
88	46	10	56	2	3
89	47	8	55	11	1
90	48	7	55	7	6
