作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	1	1	8	3
2	0	5	5	5	7
3	0	9	9	6	7
4	0	0	0	9	5
5	0	0	0	7	8
6	1	10	11	7	4
7	5	8	13	8	7
8	5	9	14	8	1
9	9	7	16	5	8
10	9	3	12	5	8
11	11	1	12	7	3
12	11	4	15	8	5
13	12	8	20	9	3
14	12	8	20	5	2
15	13	6	19	10	4
16	14	1	15	6	7
17	14	9	23	10	4
18	14	4	18	5	5
19	18	1	19	5	6
20	19	9	28	8	3
21	19	7	26	5	4
22	20	6	26	5	2
23	20	1	21	6	6
24	23	1	24	7	6
25	23	7	30	9	2
26	23	9	32	8	2
27	24	2	26	7	7
28	26	6	32	10	7
29	26	9	35	6	1
30	26	5	31	5	7
31	26	9	35	8	1
32	28	3	31	10	3
33	31	7	38	6	6
34	32	7	39	9	8
35	32	7	39	10	8
36	32	6	38	10	8
37	35	7	42	7	8
38	35	7	42	6	5
39	38	8	46	7	2
40	38	10	48	10	7
41	38	5	43	9	1
42	38	10	48	9	7
43	39	9	48	5	6
44	39	3	42	5	3
45	42	3	45	8	2
46	45	6	51	7	1
47	45	8	53	6	2
48	48	9	57	10	5
49	48	2	50	6	7
50	48	9	57	7	4
51	48	6	54	10	4
52	48	4	52	6	4
53	50	10	60	7	6
54	52	2	54	7	7
55	53	3	56	8	7
56	56	9	65	8	7
57	56	3	59	10	4
58	57	10	67	6	1
59	59	8	67	8	6
60	65	3	68	8	3
