作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	5	8
2	0	2	2	6	5
3	0	8	8	6	6
4	0	0	0	6	1
5	0	0	0	7	1
6	2	8	10	5	1
7	2	5	7	7	5
8	2	5	7	10	8
9	5	8	13	6	5
10	7	7	14	9	8
11	8	3	11	8	2
12	10	6	16	9	4
13	10	6	16	6	4
14	10	8	18	5	3
15	11	3	14	7	1
16	11	7	18	5	1
17	13	10	23	9	6
18	14	4	18	10	7
19	16	10	26	5	2
20	16	3	19	8	2
21	18	10	28	5	4
22	18	7	25	6	4
23	18	9	27	9	6
24	18	1	19	10	4
25	18	2	20	7	3
26	18	7	25	8	5
27	19	6	25	10	4
28	20	2	22	6	6
29	20	5	25	9	6
30	23	7	30	7	7
31	23	8	31	10	8
32	25	3	28	9	2
33	25	10	35	10	4
34	25	1	26	9	3
35	26	8	34	5	5
36	26	10	36	8	7
37	28	3	31	7	2
38	30	6	36	5	3
39	31	1	32	6	2
40	32	7	39	9	2
41	35	8	43	7	7
42	36	4	40	8	7
43	39	9	48	7	7
44	40	9	49	10	6
45	43	2	45	7	1
46	43	5	48	7	2
47	43	2	45	9	3
48	45	6	51	7	6
49	48	8	56	9	7
50	48	5	53	9	7
51	48	3	51	8	4
52	51	6	57	6	3
53	51	10	61	10	6
54	53	8	61	5	4
55	53	6	59	8	5
56	56	1	57	7	2
57	56	3	59	5	5
58	59	2	61	7	5
59	61	4	65	8	2
60	65	1	66	10	7
