作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	1	1	8	2
2	0	1	1	7	7
3	0	9	9	9	5
4	0	0	0	5	3
5	0	0	0	7	2
6	1	5	6	5	6
7	1	7	8	7	6
8	1	6	7	6	5
9	1	9	10	9	2
10	1	6	7	7	2
11	6	10	16	7	3
12	7	3	10	7	1
13	7	3	10	8	6
14	7	4	11	7	7
15	7	9	16	10	3
16	7	4	11	7	5
17	10	4	14	8	6
18	10	8	18	10	4
19	10	10	20	8	2
20	11	10	21	6	3
21	11	9	20	10	3
22	11	2	13	7	7
23	11	8	19	10	6
24	14	7	21	5	3
25	14	8	22	9	1
26	16	7	23	10	3
27	18	1	19	7	7
28	18	1	19	9	2
29	19	3	22	7	6
30	19	10	29	10	7
31	19	5	24	9	7
32	19	8	27	6	7
33	20	3	23	7	8
34	21	3	24	5	4
35	22	8	30	8	8
36	22	2	24	8	2
37	23	10	33	5	5
38	24	4	28	6	2
39	24	1	25	8	4
40	24	5	29	9	6
41	27	1	28	10	2
42	28	1	29	8	4
43	28	5	33	9	5
44	29	2	31	6	5
45	29	7	36	8	4
46	29	3	32	9	3
47	30	8	38	7	8
48	32	6	38	7	4
49	33	9	42	8	1
50	33	7	40	6	5
51	33	4	37	6	4
52	36	6	42	7	1
53	37	5	42	10	5
54	40	4	44	9	3
55	42	8	50	9	3
56	42	10	52	5	3
57	44	5	49	10	7
58	50	8	58	10	7
59	52	8	60	7	4
60	60	6	66	6	6
