作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	3	3	10	2
2	0	2	2	6	1
3	0	6	6	7	7
4	0	0	0	6	4
5	0	0	0	10	6
6	2	8	10	10	1
7	2	10	12	6	5
8	3	9	12	10	8
9	3	10	13	6	1
10	6	1	7	6	8
11	6	8	14	5	8
12	6	1	7	7	6
13	7	1	8	5	3
14	8	3	11	10	3
15	10	4	14	7	7
16	10	7	17	6	7
17	11	5	16	5	6
18	12	8	20	6	6
19	13	1	14	9	2
20	13	5	18	7	2
21	14	8	22	7	6
22	16	5	21	8	2
23	18	1	19	8	3
24	18	7	25	9	7
25	18	4	22	5	4
26	19	8	27	10	6
27	20	6	26	6	1
28	20	1	21	5	8
29	21	2	23	9	2
30	22	9	31	9	1
31	22	7	29	8	2
32	22	9	31	6	3
33	25	7	32	9	2
34	26	3	29	7	2
35	26	10	36	9	5
36	27	9	36	6	6
37	27	5	32	7	8
38	29	8	37	7	4
39	31	7	38	5	8
40	31	4	35	9	8
41	32	1	33	7	2
42	32	9	41	9	4
43	32	3	35	10	7
44	33	3	36	6	1
45	36	4	40	9	2
46	36	8	44	8	8
47	41	7	48	7	6
48	41	3	44	5	2
49	44	9	53	10	2
50	44	4	48	8	5
51	48	10	58	7	3
52	48	1	49	9	2
53	49	2	51	6	4
54	53	2	55	8	8
55	55	9	64	8	7
56	58	5	63	6	1
57	58	10	68	6	6
58	63	8	71	9	5
59	68	8	76	8	2
60	71	9	80	6	5
