作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	5	4
2	0	7	7	8	2
3	0	7	7	5	3
4	0	0	0	6	7
5	0	0	0	8	5
6	7	3	10	8	5
7	7	2	9	6	5
8	7	3	10	9	2
9	9	7	16	6	1
10	9	3	12	9	6
11	9	9	18	10	3
12	10	6	16	5	4
13	10	7	17	7	1
14	10	5	15	10	1
15	12	4	16	9	8
16	12	7	19	9	2
17	12	10	22	9	7
18	15	4	19	9	5
19	16	9	25	9	1
20	16	8	24	9	8
21	17	1	18	9	2
22	17	5	22	6	2
23	18	7	25	6	8
24	18	6	24	7	4
25	18	9	27	8	8
26	18	9	27	6	2
27	19	3	22	7	2
28	19	3	22	7	3
29	22	6	28	5	6
30	24	7	31	10	4
31	24	2	26	10	1
32	25	3	28	10	3
33	25	5	30	10	3
34	25	2	27	9	7
35	26	9	35	7	6
36	27	6	33	7	6
37	27	2	29	10	4
38	28	4	32	8	5
39	28	4	32	5	7
40	28	1	29	10	2
41	29	5	34	8	1
42	29	10	39	7	8
43	30	6	36	10	5
44	32	9	41	7	4
45	33	6	39	5	4
46	34	4	38	10	1
47	35	9	44	5	2
48	36	9	45	7	6
49	36	5	41	6	5
50	38	7	45	5	8
51	39	2	41	8	4
52	39	7	46	7	7
53	41	10	51	9	7
54	41	6	47	6	7
55	44	4	48	9	7
56	45	10	55	8	6
57	45	7	52	8	8
58	45	10	55	8	7
59	48	8	56	10	8
60	51	3	54	7	3
