作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	1	1	5	5
2	0	4	4	8	7
3	0	3	3	7	8
4	0	0	0	7	1
5	0	0	0	7	8
6	1	8	9	10	4
7	1	4	5	7	1
8	3	3	6	8	5
9	4	9	13	7	5
10	5	1	6	5	6
11	5	8	13	8	6
12	6	7	13	9	1
13	13	9	22	9	2
14	13	4	17	5	7
15	13	3	16	7	6
16	13	2	15	10	8
17	13	4	17	8	7
18	13	6	19	10	8
19	17	7	24	7	7
20	19	9	28	7	4
21	19	3	22	10	5
22	19	1	20	5	3
23	20	8	28	5	1
24	20	7	27	5	7
25	20	7	27	9	5
26	22	8	30	5	4
27	22	4	26	9	5
28	22	9	31	5	4
29	24	9	33	10	8
30	26	3	29	5	4
31	27	4	31	5	6
32	31	6	37	7	7
33	31	10	41	7	5
34	31	3	34	8	1
35	33	6	39	8	4
36	34	1	35	5	6
37	34	2	36	6	8
38	35	9	44	9	5
39	36	10	46	5	3
40	37	8	45	5	6
41	41	8	49	9	8
42	44	7	51	10	4
43	44	10	54	9	1
44	45	3	48	10	3
45	48	1	49	10	2
46	49	9	58	9	1
47	49	8	57	6	1
48	51	2	53	8	7
49	51	1	52	10	2
50	51	2	53	8	5
51	52	8	60	6	1
52	54	2	56	5	5
53	56	1	57	7	8
54	57	6	63	7	2
55	58	5	63	9	2
56	58	7	65	10	6
57	60	1	61	6	3
58	63	10	73	9	2
59	63	4	67	10	6
60	65	7	72	9	4
