作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	1	1	9	7
2	0	7	7	10	6
3	0	9	9	5	3
4	0	0	0	10	4
5	0	0	0	5	3
6	1	6	7	9	4
7	1	5	6	8	1
8	6	8	14	8	4
9	7	7	14	10	2
10	7	4	11	8	3
11	7	4	11	7	4
12	7	8	15	6	8
13	7	7	14	6	6
14	9	5	14	5	3
15	14	10	24	10	1
16	14	1	15	10	4
17	14	5	19	10	2
18	14	3	17	6	3
19	14	1	15	9	7
20	14	3	17	8	5
21	14	2	16	10	8
22	15	9	24	5	4
23	16	5	21	10	8
24	16	1	17	10	3
25	16	4	20	6	7
26	17	8	25	8	2
27	17	6	23	10	4
28	17	1	18	6	4
29	17	9	26	8	7
30	17	9	26	6	3
31	18	6	24	7	7
32	19	7	26	7	8
33	20	10	30	8	5
34	20	10	30	5	5
35	20	3	23	5	3
36	23	5	28	7	6
37	23	5	28	9	2
38	24	2	26	8	6
39	26	7	33	10	1
40	26	3	29	9	2
41	26	2	28	7	7
42	26	8	34	9	2
43	28	1	29	10	6
44	28	9	37	6	4
45	29	6	35	5	4
46	29	6	35	6	4
47	30	5	35	7	4
48	30	8	38	8	7
49	30	2	32	10	8
50	34	6	40	7	4
51	35	5	40	6	4
52	35	6	41	9	6
53	37	4	41	9	4
54	38	10	48	9	3
55	41	4	45	10	2
56	48	4	52	10	2
57	48	6	54	8	3
58	52	5	57	7	3
59	54	5	59	5	2
60	57	8	65	8	7
