作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	4	4	8	3
2	0	4	4	9	6
3	0	5	5	6	6
4	0	0	0	7	6
5	0	0	0	5	5
6	4	7	11	8	7
7	4	5	9	8	6
8	5	2	7	7	5
9	5	10	15	10	6
10	5	7	12	6	1
11	9	1	10	8	8
12	9	2	11	5	7
13	10	3	13	9	5
14	11	1	12	7	3
15	11	6	17	6	5
16	11	5	16	9	5
17	12	3	15	7	4
18	13	1	14	5	8
19	15	6	21	8	6
20	15	7	22	8	2
21	16	2	18	7	8
22	17	4	21	10	4
23	17	10	27	8	4
24	18	4	22	10	4
25	21	6	27	5	5
26	22	1	23	9	8
27	22	10	32	5	4
28	23	1	24	9	8
29	24	6	30	8	7
30	27	6	33	10	2
31	27	1	28	6	8
32	28	6	34	7	7
33	30	9	39	10	5
34	30	10	40	6	2
35	32	7	39	8	5
36	33	7	40	5	6
37	33	4	37	8	6
38	34	3	37	8	4
39	39	2	41	10	2
40	39	2	41	10	5
41	40	3	43	7	3
42	40	10	50	7	6
43	41	10	51	9	2
44	41	5	46	7	4
45	41	4	45	6	5
46	43	7	50	5	2
47	46	5	51	6	4
48	50	3	53	8	5
49	50	10	60	5	5
50	50	10	60	7	3
51	51	4	55	5	4
52	51	7	58	5	3
53	53	10	63	10	5
54	53	5	58	10	1
55	55	9	64	6	6
56	58	8	66	10	5
57	58	5	63	6	1
58	60	4	64	7	6
59	63	2	65	7	5
60	64	9	73	9	1
