作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	2	2	6	8
2	0	5	5	8	7
3	0	8	8	6	8
4	0	0	0	10	4
5	0	0	0	5	2
6	2	9	11	10	3
7	2	2	4	8	1
8	4	5	9	9	4
9	4	3	7	5	2
10	5	5	10	8	5
11	5	9	14	7	2
12	5	3	8	5	2
13	7	9	16	5	7
14	7	10	17	7	8
15	7	10	17	8	3
16	8	7	15	6	1
17	8	2	10	8	4
18	8	6	14	7	3
19	8	1	9	10	2
20	9	7	16	5	4
21	10	9	19	8	7
22	14	7	21	7	2
23	14	1	15	8	3
24	15	10	25	5	6
25	15	4	19	7	7
26	15	6	21	10	1
27	16	1	17	5	6
28	16	6	22	8	1
29	17	9	26	9	1
30	17	4	21	10	7
31	17	3	20	5	3
32	17	2	19	8	5
33	19	7	26	10	8
34	19	3	22	7	3
35	19	5	24	5	2
36	20	1	21	6	6
37	21	2	23	7	5
38	21	1	22	8	7
39	22	6	28	9	3
40	22	1	23	6	6
41	22	8	30	10	3
42	23	9	32	10	5
43	23	8	31	5	5
44	23	3	26	6	6
45	24	6	30	9	5
46	26	9	35	6	3
47	26	3	29	8	2
48	28	4	32	9	7
49	29	6	35	8	1
50	29	6	35	7	3
51	30	10	40	6	2
52	31	3	34	9	7
53	32	2	34	9	7
54	32	3	35	6	4
55	34	4	38	7	3
56	35	6	41	6	2
57	35	3	38	7	2
58	38	2	40	7	5
59	40	7	47	8	4
60	40	10	50	10	8
