作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	8	2
2	0	6	6	10	3
3	0	9	9	6	4
4	0	0	0	9	6
5	0	0	0	8	3
6	6	1	7	8	8
7	6	7	13	10	7
8	6	6	12	8	3
9	6	4	10	7	4
10	6	8	14	9	8
11	6	3	9	9	5
12	9	10	19	10	8
13	9	6	15	8	5
14	9	4	13	9	4
15	9	7	16	6	3
16	10	5	15	9	4
17	10	4	14	8	3
18	12	10	22	10	1
19	12	6	18	6	8
20	14	5	19	5	8
21	14	8	22	9	7
22	14	1	15	9	5
23	14	2	16	5	5
24	15	6	21	9	2
25	15	9	24	9	5
26	15	1	16	5	6
27	15	5	20	8	6
28	16	6	22	7	2
29	16	8	24	6	5
30	16	8	24	10	4
31	16	6	22	10	7
32	16	9	25	5	4
33	16	2	18	5	2
34	18	9	27	6	3
35	18	1	19	7	7
36	18	5	23	6	6
37	18	4	22	10	4
38	19	6	25	9	1
39	19	3	22	6	2
40	20	9	29	7	4
41	22	6	28	8	5
42	22	4	26	8	2
43	22	2	24	7	5
44	22	6	28	9	2
45	23	10	33	8	4
46	24	8	32	8	4
47	24	8	32	5	8
48	24	7	31	10	3
49	28	3	31	7	3
50	29	3	32	8	5
51	31	1	32	10	6
52	32	2	34	5	8
53	32	5	37	8	2
54	33	10	43	9	5
55	37	7	44	7	5
56	43	2	45	6	2
57	43	8	51	10	8
58	44	8	52	5	3
59	45	5	50	10	7
60	51	3	54	10	5
