作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	8	5
2	0	2	2	9	8
3	0	3	3	9	2
4	0	0	0	9	3
5	0	0	0	10	4
6	2	4	6	6	2
7	2	1	3	8	1
8	3	1	4	7	8
9	3	4	7	9	2
10	3	6	9	9	4
11	3	8	11	9	7
12	6	8	14	9	4
13	6	6	12	8	7
14	6	8	14	10	2
15	9	9	18	5	5
16	11	3	14	6	8
17	12	1	13	7	1
18	12	1	13	8	3
19	13	1	14	7	3
20	13	2	15	8	8
21	13	5	18	10	3
22	14	9	23	10	1
23	14	9	23	9	4
24	14	2	16	9	2
25	16	9	25	10	8
26	16	1	17	7	8
27	16	6	22	9	3
28	17	8	25	9	6
29	18	5	23	5	2
30	18	8	26	8	8
31	23	4	27	7	5
32	23	10	33	7	3
33	23	6	29	10	1
34	23	2	25	9	1
35	25	7	32	7	3
36	25	5	30	9	1
37	25	2	27	10	7
38	27	1	28	10	3
39	29	9	38	8	7
40	29	7	36	10	4
41	30	7	37	7	5
42	30	10	40	8	8
43	30	10	40	7	1
44	32	7	39	7	8
45	32	3	35	8	6
46	35	2	37	6	3
47	36	9	45	7	4
48	38	8	46	10	1
49	39	3	42	9	6
50	40	4	44	7	7
51	40	1	41	7	6
52	41	9	50	7	4
53	42	5	47	5	8
54	44	5	49	7	6
55	44	3	47	9	4
56	45	4	49	8	1
57	49	10	59	10	6
58	49	10	59	6	1
59	50	4	54	9	4
60	59	8	67	8	3
