作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	2	2	8	7
2	0	10	10	5	6
3	0	10	10	5	2
4	0	0	0	5	7
5	0	0	0	8	1
6	2	4	6	8	7
7	10	9	19	5	4
8	10	1	11	7	8
9	10	5	15	7	7
10	10	2	12	8	7
11	11	3	14	9	1
12	11	4	15	9	4
13	12	5	17	8	4
14	12	9	21	6	1
15	12	1	13	5	6
16	13	9	22	10	4
17	13	4	17	6	3
18	13	8	21	9	8
19	15	3	18	10	6
20	15	9	24	5	7
21	15	9	24	10	8
22	17	4	21	9	7
23	17	1	18	7	6
24	21	6	27	5	8
25	21	1	22	10	7
26	21	1	22	10	5
27	22	3	25	9	3
28	22	1	23	5	4
29	22	8	30	10	2
30	22	5	27	8	6
31	22	2	24	7	1
32	24	9	33	10	4
33	24	3	27	10	1
34	24	2	26	6	3
35	24	3	27	6	2
36	26	4	30	10	6
37	26	1	27	10	5
38	26	8	34	6	6
39	27	1	28	9	8
40	27	8	35	5	1
41	27	7	34	10	6
42	30	9	39	9	5
43	30	3	33	8	4
44	33	9	42	8	6
45	34	1	35	10	7
46	34	4	38	9	5
47	35	1	36	6	3
48	38	4	42	7	8
49	38	4	42	9	4
50	38	2	40	9	6
51	39	6	45	8	1
52	42	8	50	8	8
53	42	9	51	9	2
54	42	7	49	7	3
55	42	9	51	6	1
56	42	3	45	7	2
57	49	3	52	8	7
58	50	5	55	5	8
59	51	10	61	9	8
60	51	3	54	7	5
