作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	9	2
2	0	5	5	9	5
3	0	2	2	5	1
4	0	0	0	9	7
5	0	0	0	6	5
6	2	4	6	7	3
7	5	5	10	7	1
8	9	5	14	5	4
9	9	7	16	9	3
10	9	5	14	8	8
11	10	2	12	6	2
12	12	6	18	5	2
13	12	5	17	5	8
14	12	9	21	10	5
15	14	6	20	6	6
16	17	9	26	7	8
17	17	5	22	7	2
18	18	7	25	9	2
19	20	3	23	10	2
20	21	6	27	6	3
21	22	5	27	8	5
22	23	10	33	7	6
23	25	7	32	7	7
24	25	3	28	10	7
25	27	1	28	6	2
26	28	10	38	9	8
27	28	1	29	7	2
28	29	8	37	10	1
29	32	4	36	7	5
30	32	10	42	10	8
31	32	4	36	10	4
32	33	9	42	6	1
33	36	6	42	10	3
34	36	2	38	9	2
35	37	2	39	8	3
36	38	5	43	7	8
37	39	6	45	8	4
38	42	6	48	8	1
39	42	1	43	9	5
40	42	6	48	7	2
41	43	10	53	8	2
42	43	6	49	7	5
43	45	10	55	5	4
44	48	4	52	9	2
45	48	2	50	6	3
46	49	8	57	9	2
47	50	7	57	7	8
48	50	6	56	8	7
49	50	10	60	7	6
50	52	10	62	10	1
51	55	3	58	6	3
52	56	10	66	8	6
53	56	10	66	7	4
54	57	7	64	8	3
55	58	10	68	8	3
56	60	2	62	9	3
57	62	2	64	7	3
58	64	10	74	9	6
59	66	8	74	8	3
60	68	9	77	6	7
