作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	1	1	5	8
2	0	6	6	7	8
3	0	3	3	8	6
4	0	0	0	5	7
5	0	0	0	8	7
6	1	9	10	8	2
7	1	2	3	8	3
8	3	8	11	9	1
9	3	4	7	10	7
10	3	6	9	9	5
11	7	6	13	9	7
12	9	7	16	5	7
13	11	7	18	9	7
14	11	8	19	6	1
15	11	9	20	9	8
16	16	1	17	6	6
17	17	8	25	7	1
18	17	3	20	9	1
19	18	4	22	7	4
20	19	10	29	9	2
21	19	10	29	10	8
22	20	3	23	10	3
23	20	6	26	6	7
24	20	10	30	8	7
25	20	5	25	5	5
26	22	2	24	6	1
27	22	1	23	9	8
28	25	6	31	6	4
29	25	10	35	9	2
30	25	7	32	10	6
31	25	4	29	8	4
32	25	8	33	5	2
33	26	10	36	10	8
34	29	8	37	10	5
35	29	8	37	6	4
36	29	8	37	7	2
37	29	10	39	10	7
38	30	3	33	10	7
39	31	10	41	10	4
40	33	8	41	8	3
41	36	1	37	7	8
42	37	5	42	10	6
43	37	9	46	8	6
44	39	3	42	6	3
45	39	9	48	10	8
46	41	5	46	9	4
47	42	9	51	6	6
48	46	7	53	7	3
49	46	3	49	5	7
50	48	6	54	9	8
51	51	2	53	10	6
52	51	1	52	6	1
53	51	6	57	8	8
54	52	5	57	5	4
55	53	10	63	8	7
56	57	5	62	6	6
57	57	10	67	6	4
58	57	1	58	5	1
59	58	10	68	6	8
60	62	10	72	7	4
