作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	7	7	8	8
2	0	10	10	7	1
3	0	1	1	7	3
4	0	0	0	9	1
5	0	0	0	5	2
6	1	6	7	8	3
7	1	8	9	8	2
8	9	2	11	8	2
9	10	7	17	8	1
10	10	3	13	10	3
11	10	1	11	10	6
12	11	3	14	8	5
13	11	4	15	5	2
14	13	9	22	6	1
15	14	4	18	9	2
16	15	5	20	6	5
17	17	2	19	10	7
18	17	10	27	7	8
19	18	1	19	10	5
20	18	6	24	10	3
21	19	4	23	10	4
22	20	10	30	6	7
23	20	1	21	8	5
24	21	7	28	8	2
25	22	6	28	7	7
26	23	1	24	5	4
27	24	4	28	6	2
28	24	9	33	5	5
29	24	4	28	7	1
30	27	4	31	6	3
31	28	1	29	9	3
32	28	6	34	7	5
33	28	1	29	10	5
34	28	10	38	6	7
35	28	7	35	9	6
36	29	1	30	6	8
37	29	5	34	7	2
38	30	2	32	9	5
39	30	9	39	6	1
40	33	4	37	8	1
41	34	9	43	7	7
42	35	8	43	9	5
43	38	8	46	7	2
44	38	10	48	8	1
45	39	9	48	10	3
46	43	2	45	6	3
47	43	5	48	5	5
48	46	4	50	9	5
49	46	7	53	6	4
50	48	2	50	8	7
51	48	9	57	10	7
52	48	7	55	10	7
53	50	8	58	6	4
54	50	5	55	9	8
55	53	7	60	10	5
56	55	1	56	10	8
57	55	6	61	9	3
58	56	6	62	10	4
59	60	2	62	9	2
60	61	1	62	5	3
