作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	10	10	5	4
2	0	1	1	6	7
3	0	6	6	9	3
4	0	0	0	6	1
5	0	0	0	6	4
6	1	2	3	10	6
7	3	1	4	8	6
8	3	8	11	6	7
9	3	10	13	8	7
10	4	7	11	10	4
11	10	9	19	5	3
12	10	10	20	6	6
13	10	9	19	10	7
14	11	4	15	8	8
15	13	10	23	5	8
16	13	4	17	10	3
17	15	6	21	7	6
18	19	4	23	6	5
19	19	1	20	6	4
20	19	6	25	6	1
21	20	7	27	7	6
22	20	4	24	5	4
23	21	4	25	5	7
24	23	10	33	7	8
25	24	2	26	10	7
26	25	1	26	7	5
27	25	5	30	7	7
28	26	1	27	7	5
29	26	1	27	8	4
30	27	4	31	7	4
31	27	4	31	7	7
32	27	8	35	7	4
33	27	9	36	9	1
34	30	8	38	6	2
35	31	8	39	8	1
36	33	1	34	8	7
37	34	2	36	6	5
38	35	1	36	10	3
39	35	3	38	8	5
40	36	4	40	9	4
41	36	9	45	8	8
42	36	9	45	10	7
43	38	2	40	10	5
44	38	10	48	6	2
45	39	2	41	6	8
46	40	7	47	10	8
47	40	5	45	8	7
48	40	10	50	5	4
49	41	3	44	10	8
50	45	10	55	5	2
51	45	8	53	9	7
52	45	9	54	6	3
53	48	3	51	10	2
54	50	2	52	8	7
55	51	5	56	8	1
56	52	9	61	9	7
57	53	10	63	9	1
58	54	4	58	6	4
59	56	8	64	7	6
60	58	9	67	5	7
