作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	8	8	5	6
2	0	10	10	5	4
3	0	5	5	8	5
4	0	0	0	7	1
5	0	0	0	8	3
6	5	3	8	8	4
7	8	3	11	6	8
8	8	1	9	8	1
9	8	4	12	5	4
10	9	4	13	5	2
11	9	9	18	6	2
12	9	10	19	9	3
13	11	1	12	8	7
14	11	7	18	9	7
15	12	6	18	9	6
16	12	5	17	5	7
17	13	3	16	7	8
18	18	1	19	9	4
19	18	5	23	6	8
20	18	8	26	7	5
21	18	2	20	9	5
22	19	5	24	10	6
23	19	5	24	7	4
24	19	1	20	10	4
25	20	7	27	6	1
26	20	5	25	5	3
27	20	2	22	8	3
28	23	1	24	8	1
29	23	7	30	8	6
30	24	9	33	10	3
31	24	8	32	6	7
32	24	8	32	8	5
33	25	5	30	7	6
34	27	5	32	7	6
35	27	8	35	7	7
36	32	10	42	5	6
37	32	5	37	9	4
38	32	9	41	7	5
39	33	6	39	7	5
40	33	1	34	7	4
41	35	4	39	10	2
42	39	6	45	8	6
43	39	1	40	9	4
44	39	9	48	7	6
45	39	2	41	10	4
46	40	10	50	6	1
47	41	5	46	9	8
48	41	8	49	6	5
49	42	7	49	5	2
50	45	10	55	5	2
51	48	3	51	5	6
52	49	5	54	9	1
53	49	5	54	5	5
54	49	6	55	8	5
55	49	4	53	8	1
56	50	2	52	7	8
57	51	2	53	5	2
58	55	1	56	10	6
59	55	9	64	5	5
60	55	2	57	10	2
