作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	6	2
2	0	2	2	6	3
3	0	4	4	6	7
4	0	0	0	9	7
5	0	0	0	10	6
6	2	2	4	10	3
7	2	1	3	10	2
8	3	8	11	8	2
9	4	9	13	6	4
10	4	5	9	7	7
11	4	1	5	10	8
12	5	2	7	10	8
13	5	4	9	10	2
14	5	10	15	10	6
15	9	4	13	10	4
16	9	7	16	8	8
17	9	6	15	7	1
18	9	1	10	8	5
19	9	9	18	9	4
20	9	6	15	8	8
21	9	2	11	5	1
22	11	1	12	5	3
23	11	9	20	6	2
24	11	1	12	10	5
25	12	2	14	7	8
26	12	10	22	10	2
27	12	10	22	6	1
28	13	9	22	6	7
29	13	5	18	7	3
30	13	7	20	10	2
31	15	10	25	10	5
32	16	10	26	9	4
33	18	8	26	10	8
34	18	8	26	9	7
35	20	2	22	8	4
36	20	4	24	8	1
37	22	2	24	6	3
38	22	6	28	9	3
39	22	9	31	10	5
40	22	9	31	10	7
41	22	7	29	10	3
42	22	2	24	10	8
43	25	6	31	5	7
44	26	5	31	10	4
45	26	10	36	7	5
46	28	7	35	5	3
47	29	4	33	10	6
48	29	1	30	5	8
49	30	6	36	8	6
50	31	9	40	6	1
51	31	6	37	10	5
52	36	2	38	7	5
53	36	1	37	8	4
54	37	3	40	9	6
55	40	10	50	5	8
56	40	9	49	7	6
57	49	6	55	6	5
58	50	6	56	9	6
59	50	9	59	7	8
60	56	2	58	10	8
