作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	8	6
2	0	4	4	6	3
3	0	5	5	7	7
4	0	0	0	10	2
5	0	0	0	6	4
6	4	7	11	8	5
7	4	6	10	5	4
8	5	8	13	10	2
9	5	4	9	9	1
10	5	6	11	7	5
11	6	9	15	7	3
12	6	8	14	9	8
13	10	3	13	7	1
14	11	8	19	10	4
15	11	7	18	6	7
16	11	7	18	6	6
17	13	4	17	8	8
18	14	7	21	6	1
19	14	3	17	10	6
20	15	5	20	9	4
21	15	9	24	8	4
22	17	7	24	7	8
23	17	9	26	5	6
24	17	4	21	8	1
25	18	5	23	7	3
26	19	4	23	8	5
27	19	1	20	7	3
28	19	9	28	6	5
29	20	8	28	8	6
30	20	2	22	7	2
31	21	10	31	6	1
32	22	7	29	6	1
33	23	6	29	6	5
34	23	2	25	9	6
35	24	5	29	5	1
36	24	3	27	5	3
37	24	7	31	9	3
38	24	10	34	9	1
39	25	7	32	8	4
40	25	8	33	10	1
41	26	6	32	10	3
42	28	2	30	7	5
43	31	2	33	5	5
44	32	10	42	7	8
45	32	8	40	9	1
46	33	2	35	5	5
47	33	3	36	5	6
48	34	10	44	6	6
49	34	10	44	8	5
50	34	5	39	7	7
51	39	5	44	6	4
52	40	3	43	7	5
53	42	4	46	7	2
54	43	4	47	8	2
55	44	2	46	9	4
56	44	8	52	5	6
57	46	7	53	6	5
58	46	1	47	5	1
59	47	3	50	8	5
60	50	9	59	7	6
