作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	1	1	9	1
2	0	1	1	10	8
3	0	0	0	7	6
4	0	0	0	8	6
5	1	1	2	6	2
6	1	10	11	8	3
7	1	8	9	5	3
8	1	9	10	8	7
9	2	2	4	6	2
10	2	3	5	10	1
11	4	7	11	8	5
12	5	5	10	7	8
13	9	8	17	5	7
14	10	10	20	5	6
15	10	2	12	8	3
16	10	3	13	9	4
17	12	9	21	9	2
18	12	8	20	10	4
19	12	3	15	5	5
20	15	4	19	10	8
21	15	4	19	7	1
22	17	7	24	10	7
23	20	9	29	10	1
24	20	3	23	5	1
25	20	10	30	9	8
26	21	5	26	10	8
27	23	3	26	8	4
28	23	8	31	7	2
29	24	10	34	8	7
30	26	7	33	8	1
31	30	9	39	9	6
32	30	7	37	8	3
33	31	9	40	8	7
34	33	5	38	8	4
35	34	2	36	10	5
36	37	4	41	5	1
37	38	9	47	5	3
38	38	7	45	5	8
39	40	10	50	5	7
40	41	6	47	10	4
41	41	7	48	9	1
42	45	2	47	8	1
43	47	7	54	8	6
44	47	6	53	8	3
45	47	8	55	10	5
46	47	10	57	5	2
47	48	7	55	7	2
48	50	10	60	7	3
49	53	7	60	5	2
50	55	3	58	8	1
51	57	7	64	8	4
52	57	8	65	5	4
53	58	9	67	9	6
54	60	8	68	7	5
55	64	2	66	5	6
56	65	10	75	9	6
57	66	7	73	5	1
58	67	8	75	10	4
59	68	2	70	8	6
60	70	3	73	6	8
