作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	6	8
2	0	9	9	7	3
3	0	10	10	5	2
4	0	0	0	9	8
5	0	0	0	9	8
6	9	9	18	7	4
7	9	9	18	10	3
8	9	8	17	6	7
9	9	5	14	9	4
10	10	6	16	5	5
11	14	9	23	7	8
12	14	10	24	9	6
13	14	5	19	10	6
14	19	1	20	9	8
15	19	4	23	9	8
16	19	6	25	7	6
17	23	3	26	6	3
18	24	4	28	7	2
19	24	10	34	5	5
20	24	5	29	9	3
21	29	6	35	6	1
22	29	5	34	7	8
23	29	3	32	10	5
24	32	6	38	9	7
25	32	3	35	6	6
26	34	8	42	7	5
27	34	3	37	5	7
28	35	5	40	8	2
29	35	1	36	7	5
30	36	9	45	6	6
31	36	10	46	6	2
32	36	1	37	6	7
33	37	2	39	5	1
34	37	7	44	5	1
35	37	7	44	6	5
36	38	4	42	7	7
37	39	8	47	10	4
38	42	8	50	8	1
39	42	2	44	6	5
40	42	10	52	9	3
41	44	3	47	5	2
42	44	10	54	9	1
43	44	10	54	6	2
44	44	4	48	6	6
45	45	7	52	9	1
46	46	6	52	5	8
47	48	7	55	6	4
48	50	8	58	10	5
49	52	2	54	9	4
50	52	8	60	7	4
51	52	7	59	9	7
52	54	4	58	7	2
53	55	10	65	6	4
54	58	7	65	9	1
55	58	6	64	8	1
56	59	5	64	6	8
57	60	3	63	5	2
58	64	4	68	5	8
59	65	9	74	10	2
60	74	9	83	9	1
