作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	8	1
2	0	7	7	7	3
3	0	2	2	10	5
4	0	0	0	8	4
5	0	0	0	9	1
6	2	7	9	7	1
7	2	1	3	7	5
8	9	9	18	10	4
9	9	3	12	10	4
10	9	8	17	6	8
11	9	10	19	9	5
12	12	5	17	10	8
13	12	3	15	9	7
14	17	1	18	5	6
15	17	10	27	10	7
16	17	3	20	8	6
17	18	8	26	5	3
18	18	6	24	8	6
19	18	5	23	9	4
20	19	9	28	6	6
21	20	10	30	6	4
22	20	7	27	8	7
23	23	6	29	9	1
24	24	9	33	10	6
25	26	3	29	6	7
26	27	2	29	9	4
27	27	5	32	8	8
28	27	1	28	6	3
29	27	9	36	7	6
30	27	2	29	10	6
31	28	6	34	7	3
32	28	7	35	5	7
33	29	9	38	7	2
34	29	1	30	7	1
35	30	1	31	10	7
36	30	8	38	8	4
37	32	9	41	8	2
38	33	3	36	6	7
39	34	6	40	6	1
40	36	4	40	5	7
41	36	4	40	9	8
42	36	2	38	8	2
43	36	2	38	10	5
44	38	1	39	9	6
45	38	8	46	7	7
46	38	9	47	10	8
47	40	9	49	9	1
48	40	4	44	5	8
49	41	7	48	9	5
50	41	2	43	8	4
51	43	2	45	6	6
52	43	4	47	10	2
53	44	8	52	9	7
54	45	5	50	6	5
55	48	7	55	5	7
56	49	8	57	7	2
57	52	4	56	8	5
58	57	2	59	8	1
59	59	7	66	5	2
60	66	1	67	6	5
