作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	5	1
2	0	10	10	8	5
3	0	6	6	7	8
4	0	0	0	8	3
5	0	0	0	6	4
6	6	8	14	8	1
7	6	9	15	8	6
8	9	5	14	7	3
9	9	1	10	6	1
10	9	9	18	6	1
11	10	7	17	8	8
12	14	8	22	9	4
13	14	4	18	5	7
14	14	3	17	10	4
15	17	9	26	5	6
16	18	6	24	8	6
17	18	10	28	8	2
18	18	7	25	9	7
19	22	3	25	10	1
20	24	8	32	9	8
21	25	7	32	8	2
22	26	6	32	8	4
23	26	6	32	7	1
24	28	4	32	7	4
25	32	1	33	10	5
26	32	1	33	7	5
27	32	10	42	8	8
28	32	8	40	8	7
29	32	7	39	10	5
30	33	9	42	9	6
31	33	6	39	7	8
32	39	3	42	7	8
33	40	9	49	7	6
34	42	2	44	6	4
35	42	7	49	8	6
36	42	6	48	6	3
37	42	8	50	6	3
38	44	8	52	6	2
39	48	6	54	10	1
40	49	8	57	7	6
41	50	4	54	5	6
42	50	1	51	9	4
43	51	10	61	6	4
44	54	5	59	8	6
45	54	3	57	6	6
46	57	1	58	6	2
47	57	4	61	5	1
48	57	8	65	9	7
49	58	5	63	5	6
50	59	2	61	8	7
51	61	8	69	6	8
52	61	10	71	10	6
53	63	9	72	7	5
54	65	8	73	8	2
55	69	7	76	8	5
56	71	3	74	8	4
57	71	9	80	6	3
58	72	9	81	10	1
59	74	5	79	5	8
60	76	1	77	7	8
