作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	3	3	5	1
2	0	8	8	9	5
3	0	9	9	6	4
4	0	0	0	5	6
5	0	0	0	8	2
6	3	4	7	7	7
7	3	1	4	7	4
8	3	4	7	10	7
9	4	1	5	6	1
10	4	8	12	10	8
11	4	9	13	8	6
12	5	6	11	7	4
13	7	5	12	8	4
14	7	9	16	8	1
15	8	9	17	7	1
16	8	4	12	9	6
17	12	2	14	6	1
18	12	5	17	6	3
19	12	10	22	9	7
20	12	9	21	7	4
21	16	9	25	5	1
22	16	6	22	9	6
23	17	7	24	5	1
24	17	2	19	9	2
25	17	7	24	9	6
26	17	8	25	8	4
27	19	3	22	7	4
28	19	8	27	8	7
29	21	7	28	6	5
30	22	2	24	10	4
31	22	2	24	5	2
32	24	5	29	9	8
33	24	2	26	5	8
34	24	6	30	6	3
35	24	1	25	8	1
36	25	10	35	6	2
37	25	3	28	7	8
38	25	5	30	8	8
39	26	3	29	9	7
40	27	10	37	6	3
41	28	7	35	6	3
42	30	6	36	6	8
43	30	6	36	5	8
44	35	5	40	8	3
45	35	2	37	9	3
46	36	6	42	8	6
47	36	10	46	7	3
48	37	6	43	10	3
49	37	6	43	10	1
50	43	7	50	10	8
51	43	8	51	10	6
52	43	5	48	5	6
53	43	5	48	6	6
54	46	1	47	5	5
55	46	10	56	6	4
56	47	1	48	10	6
57	47	1	48	5	7
58	48	6	54	9	5
59	50	3	53	9	2
60	54	1	55	9	7
