作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	1	1	7	5
2	0	6	6	7	6
3	0	3	3	5	5
4	0	0	0	7	3
5	0	0	0	9	1
6	1	8	9	10	2
7	1	1	2	10	5
8	1	6	7	10	8
9	2	10	12	7	5
10	3	5	8	10	6
11	3	8	11	8	8
12	3	5	8	7	6
13	6	5	11	5	5
14	6	8	14	6	6
15	6	4	10	9	6
16	7	8	15	6	7
17	7	7	14	9	7
18	7	5	12	6	1
19	8	7	15	5	7
20	8	10	18	9	2
21	8	1	9	6	2
22	8	6	14	6	6
23	9	3	12	10	4
24	9	2	11	6	8
25	10	6	16	6	7
26	11	10	21	6	2
27	11	7	18	6	4
28	11	5	16	5	8
29	11	1	12	6	6
30	12	5	17	7	7
31	12	4	16	10	4
32	12	6	18	6	6
33	15	10	25	10	8
34	15	6	21	9	2
35	16	1	17	9	8
36	17	10	27	7	1
37	18	1	19	5	2
38	18	7	25	9	6
39	18	5	23	7	7
40	19	2	21	8	8
41	21	7	28	7	2
42	21	6	27	7	5
43	21	10	31	8	5
44	23	9	32	8	7
45	23	8	31	10	8
46	25	6	31	8	5
47	31	7	38	9	3
48	32	8	40	5	2
49	32	7	39	7	4
50	32	6	38	7	3
51	38	6	44	6	7
52	38	7	45	10	4
53	39	8	47	9	2
54	40	2	42	7	1
55	42	9	51	6	5
56	44	3	47	6	2
57	44	4	48	5	3
58	47	1	48	5	3
59	47	2	49	6	4
60	48	1	49	7	6
