作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	10	10	10	4
2	0	10	10	8	5
3	0	5	5	6	3
4	0	0	0	10	1
5	0	0	0	7	2
6	5	6	11	10	3
7	5	5	10	5	1
8	5	7	12	10	1
9	10	2	12	10	8
10	10	7	17	10	7
11	10	5	15	9	1
12	10	10	20	5	6
13	10	4	14	9	5
14	10	9	19	6	5
15	14	8	22	9	6
16	14	3	17	6	7
17	17	3	20	10	6
18	17	7	24	8	5
19	17	2	19	5	5
20	19	6	25	5	6
21	19	8	27	8	7
22	19	2	21	9	4
23	19	9	28	7	1
24	20	4	24	7	3
25	20	10	30	8	2
26	20	2	22	10	6
27	22	1	23	5	2
28	22	2	24	9	1
29	22	6	28	7	2
30	23	2	25	7	1
31	24	9	33	9	5
32	24	1	25	7	2
33	24	5	29	6	5
34	25	4	29	6	3
35	28	9	37	7	4
36	28	8	36	9	3
37	28	5	33	9	3
38	28	1	29	7	1
39	29	5	34	10	3
40	29	3	32	5	1
41	30	3	33	5	5
42	33	2	35	6	1
43	33	6	39	10	1
44	36	5	41	8	1
45	36	1	37	10	7
46	37	5	42	6	4
47	37	8	45	6	1
48	37	6	43	5	5
49	41	4	45	10	4
50	42	7	49	10	2
51	43	6	49	5	1
52	45	9	54	9	1
53	49	7	56	10	2
54	49	8	57	7	5
55	54	9	63	9	8
56	54	10	64	6	4
57	56	3	59	10	3
58	57	4	61	8	8
59	59	4	63	5	6
60	63	5	68	9	3
