作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	7	4
2	0	2	2	9	7
3	0	5	5	5	2
4	0	0	0	7	4
5	0	0	0	6	5
6	2	7	9	7	7
7	2	4	6	6	1
8	2	9	11	7	1
9	5	7	12	8	8
10	5	2	7	7	2
11	5	1	6	8	1
12	5	4	9	6	4
13	6	3	9	6	6
14	7	6	13	10	7
15	7	3	10	9	8
16	7	2	9	9	4
17	9	9	18	10	3
18	9	9	18	7	3
19	9	4	13	6	5
20	9	3	12	7	6
21	10	3	13	5	6
22	11	2	13	5	7
23	11	6	17	8	4
24	12	6	18	5	6
25	13	2	15	10	3
26	13	4	17	5	8
27	13	3	16	8	2
28	13	1	14	10	7
29	14	5	19	8	1
30	14	1	15	5	1
31	15	8	23	8	2
32	16	2	18	10	3
33	17	7	24	5	8
34	17	10	27	5	1
35	18	1	19	9	7
36	18	10	28	9	7
37	18	5	23	9	8
38	18	7	25	10	6
39	19	10	29	7	6
40	19	7	26	5	6
41	23	6	29	9	4
42	23	7	30	5	5
43	24	8	32	7	6
44	25	9	34	10	4
45	26	9	35	7	2
46	27	4	31	10	3
47	27	1	28	8	2
48	28	7	35	6	2
49	28	10	38	10	6
50	31	4	35	7	2
51	32	2	34	8	4
52	34	5	39	8	2
53	35	4	39	6	1
54	35	2	37	7	1
55	35	4	39	10	7
56	37	9	46	8	1
57	38	3	41	5	8
58	39	2	41	7	5
59	41	1	42	6	1
60	42	3	45	8	2
