作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	4	4	9	3
2	0	8	8	10	8
3	0	8	8	10	5
4	0	0	0	6	6
5	0	0	0	8	1
6	4	5	9	6	1
7	8	1	9	9	4
8	8	8	16	10	8
9	8	2	10	9	3
10	8	1	9	6	2
11	9	2	11	10	4
12	9	9	18	5	1
13	9	8	17	9	6
14	10	9	19	7	6
15	11	6	17	8	7
16	16	5	21	8	2
17	17	4	21	7	8
18	17	10	27	10	8
19	18	7	25	6	5
20	18	6	24	5	7
21	18	9	27	8	6
22	19	8	27	9	6
23	19	9	28	9	5
24	21	9	30	10	7
25	21	2	23	10	7
26	24	3	27	5	3
27	25	3	28	6	8
28	27	5	32	7	5
29	27	2	29	9	6
30	28	4	32	10	3
31	28	5	33	6	2
32	29	1	30	7	5
33	29	2	31	7	3
34	30	4	34	5	3
35	30	7	37	10	7
36	30	1	31	5	4
37	31	5	36	5	1
38	31	10	41	9	5
39	31	3	34	7	2
40	32	7	39	10	5
41	32	6	38	9	7
42	33	6	39	9	5
43	33	1	34	6	2
44	34	3	37	8	6
45	34	1	35	8	7
46	37	6	43	9	3
47	37	3	40	10	8
48	39	2	41	7	8
49	39	6	45	6	1
50	39	5	44	5	4
51	40	6	46	9	4
52	41	1	42	10	2
53	41	4	45	6	5
54	43	10	53	9	8
55	44	7	51	9	7
56	45	10	55	7	1
57	45	3	48	6	2
58	46	4	50	7	8
59	50	7	57	9	6
60	53	6	59	5	3
