作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	8	8	6	8
2	0	8	8	9	7
3	0	8	8	5	2
4	0	0	0	10	4
5	0	0	0	8	7
6	8	2	10	8	7
7	8	8	16	10	6
8	8	1	9	10	8
9	8	6	14	7	2
10	8	5	13	5	1
11	8	7	15	8	8
12	8	6	14	6	6
13	8	1	9	9	5
14	9	5	14	8	8
15	9	8	17	5	1
16	9	10	19	5	6
17	14	3	17	10	3
18	14	1	15	5	3
19	14	1	15	6	5
20	15	4	19	8	7
21	15	9	24	9	7
22	15	4	19	7	3
23	16	5	21	5	3
24	17	10	27	7	4
25	19	5	24	8	3
26	19	10	29	6	2
27	19	1	20	5	8
28	19	10	29	7	7
29	20	4	24	8	4
30	20	5	25	7	2
31	21	2	23	10	2
32	21	1	22	9	7
33	24	1	25	9	8
34	25	5	30	9	3
35	25	1	26	10	6
36	25	2	27	5	2
37	27	1	28	7	5
38	28	9	37	5	3
39	28	2	30	6	3
40	28	9	37	7	8
41	29	8	37	8	3
42	29	6	35	8	2
43	29	1	30	6	8
44	29	10	39	6	2
45	29	9	38	10	2
46	35	6	41	10	5
47	37	9	46	7	8
48	37	10	47	9	4
49	37	1	38	8	8
50	37	9	46	8	4
51	38	5	43	9	6
52	38	9	47	7	6
53	39	8	47	5	3
54	46	5	51	8	7
55	46	8	54	8	7
56	47	3	50	6	1
57	47	4	51	9	6
58	50	1	51	9	2
59	51	10	61	6	7
60	51	6	57	9	7
