作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	7	7	6	3
2	0	0	0	9	5
3	0	0	0	7	6
4	7	1	8	9	7
5	7	8	15	5	1
6	7	10	17	9	3
7	15	9	24	9	6
8	15	9	24	8	2
9	17	6	23	6	2
10	17	6	23	6	8
11	23	2	25	9	3
12	24	10	34	9	8
13	24	9	33	9	2
14	24	4	28	7	1
15	25	5	30	6	7
16	25	9	34	6	7
17	30	2	32	6	6
18	30	5	35	9	5
19	34	2	36	10	8
20	34	9	43	7	6
21	34	6	40	5	7
22	35	7	42	5	5
23	35	2	37	9	7
24	36	8	44	5	4
25	40	9	49	6	3
26	43	9	52	10	2
27	44	9	53	5	1
28	49	4	53	8	6
29	53	4	57	9	3
30	53	9	62	10	5
31	53	10	63	7	2
32	57	6	63	10	8
33	62	5	67	5	3
34	62	1	63	8	1
35	63	10	73	6	2
36	63	8	71	6	6
37	63	5	68	8	5
38	68	6	74	6	4
39	71	10	81	9	2
40	74	10	84	7	8
41	74	4	78	10	4
42	81	7	88	8	1
43	81	8	89	9	1
44	89	2	91	8	1
45	89	5	94	10	5
46	89	7	96	5	5
47	94	9	103	9	4
48	96	9	105	7	2
49	96	7	103	8	1
50	103	8	111	9	7
51	103	9	112	10	6
52	105	1	106	5	8
53	105	9	114	9	5
54	112	7	119	8	4
55	114	8	122	7	6
56	114	2	116	8	4
57	116	7	123	5	7
58	119	6	125	6	5
59	123	5	128	7	3
60	125	9	134	8	7
