作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	4	4	7	5
2	0	9	9	7	3
3	0	10	10	6	2
4	0	0	0	5	3
5	0	0	0	5	5
6	4	1	5	5	1
7	4	7	11	9	8
8	9	3	12	6	8
9	9	2	11	6	4
10	9	7	16	5	4
11	10	6	16	6	6
12	11	10	21	9	3
13	12	9	21	10	7
14	12	3	15	9	1
15	12	7	19	9	7
16	16	3	19	8	4
17	16	5	21	9	4
18	16	7	23	7	3
19	19	1	20	6	2
20	19	6	25	5	3
21	19	5	24	8	3
22	19	10	29	6	2
23	21	8	29	5	7
24	21	10	31	6	5
25	23	5	28	5	2
26	23	3	26	7	3
27	23	1	24	8	6
28	24	10	34	7	8
29	24	8	32	8	2
30	24	7	31	6	5
31	26	9	35	8	3
32	26	9	35	10	3
33	28	8	36	7	6
34	29	6	35	6	6
35	31	6	37	8	5
36	31	9	40	6	2
37	31	3	34	6	7
38	34	5	39	5	7
39	34	9	43	5	8
40	34	3	37	9	7
41	37	7	44	9	4
42	39	7	46	8	5
43	40	4	44	5	4
44	40	9	49	10	8
45	44	1	45	10	6
46	44	1	45	8	2
47	46	3	49	5	6
48	49	8	57	9	8
49	57	4	61	7	3
50	57	7	64	7	4
51	61	9	70	6	4
52	61	10	71	8	7
53	64	1	65	5	1
54	64	1	65	7	5
55	64	4	68	10	6
56	65	6	71	5	4
57	68	9	77	10	6
58	71	10	81	8	8
59	81	8	89	9	1
60	89	10	99	9	4
