作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	8	8	10	4
2	0	8	8	6	5
3	0	10	10	6	5
4	0	0	0	9	4
5	0	0	0	5	6
6	8	6	14	8	8
7	8	10	18	7	1
8	8	10	18	9	2
9	10	6	16	9	8
10	10	3	13	10	4
11	10	5	15	8	6
12	13	3	16	10	4
13	13	9	22	7	7
14	14	9	23	6	1
15	14	6	20	9	2
16	15	3	18	8	7
17	16	3	19	10	6
18	16	9	25	10	2
19	18	8	26	8	7
20	18	5	23	5	5
21	18	8	26	5	7
22	18	3	21	9	4
23	18	4	22	8	6
24	18	6	24	8	4
25	18	10	28	8	1
26	21	2	23	10	3
27	22	9	31	5	1
28	23	9	32	10	1
29	23	8	31	8	5
30	24	9	33	5	4
31	24	1	25	5	2
32	26	8	34	10	6
33	28	1	29	7	3
34	28	9	37	6	7
35	29	8	37	7	2
36	29	1	30	7	8
37	30	2	32	7	1
38	31	7	38	8	2
39	32	9	41	9	1
40	32	8	40	6	3
41	33	7	40	7	8
42	34	7	41	8	3
43	37	9	46	5	4
44	37	7	44	9	5
45	37	7	44	7	8
46	38	7	45	6	4
47	44	5	49	8	2
48	46	8	54	9	7
49	49	5	54	8	5
50	54	3	57	6	4
51	54	3	57	6	6
52	54	6	60	8	4
53	57	5	62	10	6
54	57	10	67	8	6
55	60	4	64	7	7
56	62	2	64	9	6
57	64	2	66	5	3
58	64	6	70	9	1
59	66	9	75	5	7
60	70	8	78	6	3
