作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	10	10	5	6
2	0	10	10	10	1
3	0	6	6	6	2
4	0	0	0	10	1
5	0	0	0	5	6
6	6	2	8	9	4
7	6	3	9	10	7
8	8	3	11	10	7
9	8	9	17	8	7
10	8	6	14	9	6
11	9	6	15	9	3
12	9	5	14	10	8
13	10	6	16	10	1
14	10	10	20	9	7
15	10	4	14	10	6
16	11	6	17	6	5
17	14	3	17	7	8
18	14	8	22	6	3
19	14	5	19	8	6
20	15	3	18	7	3
21	16	10	26	5	5
22	17	8	25	9	7
23	17	9	26	8	6
24	17	7	24	7	2
25	17	6	23	9	2
26	19	4	23	5	4
27	19	1	20	8	4
28	20	10	30	10	3
29	20	10	30	5	1
30	20	2	22	6	7
31	20	3	23	6	5
32	22	7	29	9	2
33	23	9	32	6	5
34	23	7	30	7	7
35	23	6	29	8	6
36	23	2	25	6	2
37	25	3	28	6	3
38	26	10	36	6	2
39	26	9	35	6	8
40	26	6	32	7	3
41	29	4	33	7	7
42	30	6	36	10	5
43	30	5	35	7	4
44	30	7	37	7	7
45	30	8	38	7	1
46	32	9	41	9	2
47	35	8	43	5	6
48	35	8	43	6	7
49	36	6	42	10	8
50	36	10	46	8	2
51	36	5	41	9	7
52	41	5	46	8	6
53	41	4	45	6	5
54	41	7	48	5	7
55	43	8	51	5	4
56	43	3	46	10	8
57	43	5	48	6	7
58	46	5	51	5	4
59	46	5	51	6	6
60	48	2	50	5	3
