作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	8	8
2	0	6	6	5	5
3	0	1	1	9	5
4	0	0	0	5	6
5	0	0	0	9	4
6	1	1	2	7	5
7	1	9	10	10	3
8	1	3	4	5	2
9	2	6	8	10	4
10	4	4	8	6	7
11	4	1	5	9	3
12	5	5	10	5	2
13	5	1	6	7	4
14	6	9	15	7	5
15	6	5	11	8	1
16	6	10	16	5	2
17	6	8	14	8	5
18	8	9	17	7	1
19	10	1	11	5	3
20	10	4	14	7	6
21	10	9	19	8	2
22	11	9	20	10	2
23	14	10	24	7	7
24	14	4	18	8	1
25	15	8	23	10	5
26	16	10	26	8	3
27	17	8	25	6	2
28	17	9	26	6	3
29	18	5	23	8	3
30	19	8	27	6	6
31	19	4	23	6	2
32	20	4	24	10	1
33	23	5	28	8	5
34	25	4	29	9	7
35	25	4	29	9	7
36	26	1	27	7	6
37	26	3	29	6	2
38	26	10	36	9	1
39	26	7	33	6	5
40	27	9	36	5	2
41	27	2	29	10	4
42	29	2	31	5	7
43	29	9	38	8	2
44	29	8	37	7	8
45	29	5	34	10	2
46	33	7	40	9	1
47	36	9	45	7	4
48	36	9	45	10	3
49	36	2	38	6	5
50	36	2	38	6	3
51	37	7	44	6	4
52	37	5	42	9	7
53	38	6	44	5	2
54	38	1	39	10	4
55	42	2	44	8	2
56	44	3	47	5	6
57	45	6	51	8	4
58	45	8	53	6	6
59	47	6	53	10	5
60	47	6	53	5	6
