作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	6	4
2	0	4	4	7	3
3	0	9	9	9	4
4	0	0	0	7	2
5	0	0	0	9	2
6	4	6	10	8	3
7	4	5	9	6	4
8	6	4	10	6	8
9	6	2	8	8	8
10	9	1	10	7	2
11	9	3	12	10	2
12	10	7	17	9	5
13	10	1	11	8	8
14	12	4	16	10	4
15	12	2	14	7	3
16	14	2	16	6	8
17	14	3	17	5	1
18	16	8	24	8	2
19	17	4	21	6	5
20	17	5	22	9	7
21	17	1	18	7	7
22	18	5	23	5	6
23	21	7	28	7	3
24	22	2	24	7	4
25	23	3	26	9	3
26	24	9	33	8	4
27	24	3	27	6	7
28	26	5	31	7	1
29	28	4	32	8	6
30	32	5	37	9	4
31	32	1	33	6	3
32	33	2	35	9	1
33	33	8	41	5	7
34	33	8	41	7	5
35	37	2	39	7	1
36	41	4	45	9	6
37	41	9	50	7	7
38	41	10	51	9	5
39	50	5	55	8	2
40	51	7	58	8	3
41	55	10	65	5	2
42	58	9	67	8	6
43	65	1	66	7	1
44	65	4	69	10	4
45	66	10	76	9	8
46	67	1	68	10	8
47	68	7	75	10	7
48	68	7	75	8	4
49	69	7	76	5	4
50	69	9	78	6	2
51	76	1	77	5	7
52	77	10	87	5	4
53	77	6	83	9	1
54	78	6	84	7	7
55	84	3	87	6	6
56	87	4	91	5	2
57	87	4	91	10	3
58	91	9	100	6	6
59	91	10	101	7	5
60	101	7	108	7	6
