作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	1	1	5	6
2	0	10	10	10	2
3	0	4	4	9	2
4	0	0	0	5	1
5	0	0	0	8	6
6	1	10	11	5	5
7	1	4	5	8	5
8	1	4	5	8	4
9	5	8	13	6	5
10	5	4	9	6	5
11	5	3	8	10	4
12	5	4	9	9	3
13	5	3	8	8	4
14	8	7	15	9	6
15	8	4	12	8	6
16	8	7	15	7	3
17	9	1	10	8	2
18	9	10	19	10	3
19	11	5	16	8	1
20	12	7	19	7	2
21	13	2	15	6	2
22	15	9	24	8	3
23	15	1	16	7	5
24	15	9	24	6	2
25	15	7	22	9	7
26	15	7	22	8	1
27	16	4	20	8	1
28	16	5	21	9	2
29	16	8	24	7	7
30	22	4	26	8	4
31	22	7	29	6	1
32	24	9	33	5	4
33	24	3	27	6	3
34	24	3	27	5	8
35	24	2	26	8	3
36	24	3	27	10	5
37	26	10	36	5	8
38	26	4	30	6	1
39	26	10	36	9	6
40	29	1	30	5	2
41	36	6	42	8	4
42	36	6	42	10	1
43	36	7	43	8	4
44	42	9	51	8	2
45	43	5	48	8	3
46	43	8	51	9	1
47	43	4	47	8	2
48	47	3	50	10	4
49	50	10	60	5	7
50	51	7	58	7	2
51	60	3	63	5	4
52	60	10	70	6	8
53	60	6	66	6	3
54	60	7	67	5	6
55	66	2	68	10	4
56	67	7	74	10	1
57	68	2	70	7	2
58	70	3	73	8	2
59	70	7	77	8	2
60	70	2	72	9	6
