作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	8	8	3	5
2	0	1	1	5	1
3	1	5	6	2	2
4	1	2	3	3	3
5	1	9	10	5	6
6	2	6	8	4	1
7	2	5	7	4	10
8	2	4	6	4	6
9	3	3	6	2	3
10	4	10	14	2	8
11	9	3	12	1	10
12	10	8	18	2	10
13	10	10	20	5	1
14	10	9	19	5	8
15	10	4	14	3	4
16	11	10	21	4	3
17	11	4	15	3	4
18	12	10	22	5	6
19	12	6	18	1	6
20	12	3	15	3	10
21	14	4	18	2	10
22	14	9	23	1	10
23	15	3	18	5	10
24	15	9	24	5	4
25	15	1	16	5	1
26	16	6	22	4	5
27	16	4	20	1	1
28	17	6	23	2	2
29	17	10	27	1	7
30	18	2	20	5	5
31	20	7	27	2	1
32	20	2	22	3	10
33	21	7	28	4	9
34	22	7	29	5	2
35	24	1	25	1	4
36	24	4	28	4	5
37	24	4	28	5	1
38	25	1	26	4	1
39	25	6	31	1	5
40	26	3	29	1	7
41	27	7	34	5	9
42	28	3	31	3	3
43	28	4	32	3	8
44	28	8	36	3	2
45	28	9	37	3	10
46	28	8	36	4	10
47	28	6	34	4	1
48	28	9	37	5	7
49	29	2	31	2	5
50	29	4	33	5	3
51	29	1	30	5	10
52	30	8	38	3	8
53	30	1	31	5	1
54	30	1	31	5	7
55	31	5	36	1	8
56	32	3	35	5	4
57	32	6	38	5	3
58	32	5	37	3	4
59	33	3	36	4	5
60	34	1	35	1	10
61	34	9	43	3	2
62	35	3	38	4	9
63	35	5	40	3	5
64	35	9	44	5	8
65	36	3	39	3	2
66	36	4	40	3	5
67	38	7	45	2	10
68	38	3	41	4	5
69	40	9	49	4	6
70	40	4	44	4	8
71	41	8	49	3	8
72	41	5	46	3	7
73	41	1	42	1	4
74	42	10	52	4	6
75	42	9	51	2	3
76	44	4	48	5	10
77	44	7	51	3	5
78	44	3	47	1	9
79	44	2	46	1	6
80	45	7	52	1	6
81	45	6	51	4	7
82	46	5	51	1	5
83	46	6	52	2	4
84	47	8	55	5	3
85	47	6	53	2	5
86	47	6	53	4	7
87	47	5	52	4	9
88	48	4	52	3	5
89	48	7	55	4	9
90	49	8	57	1	4
91	49	3	52	2	7
92	49	4	53	5	6
93	49	3	52	2	3
94	49	10	59	4	9
95	49	1	50	4	5
96	50	8	58	5	5
97	51	1	52	3	10
98	51	6	57	5	5
99	51	5	56	4	7
100	51	3	54	4	1
101	53	5	58	5	3
102	53	7	60	4	2
103	54	6	60	1	1
104	55	5	60	3	9
105	57	7	64	5	8
106	57	5	62	4	5
107	58	4	62	3	2
108	58	6	64	1	10
109	58	6	64	4	7
110	59	3	62	4	10
111	60	4	64	2	2
112	60	9	69	3	5
113	60	9	69	2	5
114	60	1	61	1	7
115	61	8	69	1	5
116	61	9	70	4	1
117	62	6	68	3	6
118	62	6	68	2	4
119	63	5	68	4	8
120	63	9	72	2	8
121	63	10	73	1	5
122	64	5	69	4	3
123	64	4	68	4	7
124	65	4	69	2	1
125	67	1	68	1	5
126	68	7	75	4	2
127	68	4	72	4	1
128	69	7	76	2	4
129	69	10	79	1	9
130	70	7	77	3	3
131	70	8	78	4	8
132	70	2	72	1	5
133	70	7	77	3	10
134	70	6	76	5	3
135	70	7	77	5	1
136	70	8	78	5	5
137	70	6	76	2	6
138	71	9	80	2	8
139	71	10	81	1	4
140	72	7	79	5	2
141	72	3	75	2	9
142	72	8	80	3	3
143	73	5	78	3	10
144	74	5	79	2	9
145	74	6	80	1	1
146	74	8	82	3	8
147	75	3	78	4	5
148	76	1	77	2	1
149	76	10	86	4	7
150	77	6	83	5	4
151	77	7	84	1	9
152	77	7	84	5	8
153	78	9	87	3	6
154	79	10	89	1	10
155	80	2	82	5	4
156	81	6	87	1	1
157	81	1	82	3	6
158	81	8	89	1	9
159	82	9	91	4	2
160	82	4	86	4	7
161	82	2	84	5	4
162	83	9	92	3	8
163	83	2	85	4	2
164	84	3	87	5	1
165	84	7	91	5	3
166	84	9	93	4	2
167	86	1	87	2	6
168	86	7	93	3	9
169	87	4	91	4	10
170	88	3	91	4	1
171	89	7	96	4	1
172	89	5	94	1	1
173	90	2	92	5	9
174	90	10	100	1	8
175	91	7	98	3	8
176	92	5	97	5	4
177	92	7	99	3	4
178	92	4	96	4	5
179	92	1	93	3	8
180	93	4	97	4	7
181	93	4	97	2	2
182	94	4	98	4	10
183	94	1	95	5	10
184	94	9	103	2	6
185	95	7	102	2	2
186	95	9	104	3	7
187	96	7	103	4	7
188	96	8	104	1	9
189	96	9	105	1	8
190	96	10	106	4	9
191	96	2	98	1	3
192	99	4	103	3	9
193	99	9	108	2	10
194	100	3	103	4	9
195	101	9	110	3	3
196	101	6	107	4	8
197	101	4	105	1	2
198	101	6	107	4	8
199	102	4	106	5	2
200	102	8	110	1	8
201	102	5	107	5	1
202	102	9	111	1	5
203	103	7	110	5	4
