作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	1	2	3	2	6
2	2	8	10	14	10
3	3	8	11	3	1
4	3	3	6	11	10
5	7	9	16	14	6
6	8	10	18	12	7
7	8	7	15	5	3
8	9	10	19	12	5
9	10	4	14	7	6
10	10	2	12	3	2
11	12	5	17	11	5
12	12	9	21	4	3
13	12	4	16	1	8
14	13	2	15	4	2
15	13	10	23	5	1
16	14	3	17	2	7
17	14	8	22	8	9
18	14	3	17	15	10
19	15	2	17	3	8
20	15	3	18	6	6
21	15	3	18	13	5
22	16	1	17	15	10
23	16	3	19	9	3
24	16	10	26	5	9
25	16	6	22	2	8
26	16	1	17	1	7
27	16	8	24	13	3
28	17	2	19	13	9
29	17	6	23	7	1
30	17	3	20	14	7
31	17	6	23	5	10
32	17	1	18	11	6
33	18	5	23	7	1
34	19	10	29	11	7
35	20	1	21	1	10
36	20	9	29	4	5
37	20	7	27	2	8
38	20	7	27	4	1
39	20	2	22	13	3
40	21	3	24	7	2
41	21	10	31	8	6
42	23	10	33	2	10
43	23	10	33	4	6
44	24	2	26	1	7
45	25	5	30	9	3
46	26	8	34	8	9
47	26	3	29	3	10
48	27	1	28	8	3
49	27	6	33	12	4
50	27	3	30	14	4
51	27	10	37	8	7
52	28	10	38	5	10
53	28	4	32	12	4
54	28	2	30	1	9
55	28	1	29	11	3
56	29	4	33	11	2
57	29	8	37	13	3
58	29	8	37	5	9
59	30	3	33	9	7
60	30	10	40	2	8
61	30	4	34	13	1
62	31	2	33	2	2
63	31	5	36	10	6
64	31	1	32	4	6
65	32	5	37	5	5
66	32	2	34	2	5
67	32	6	38	5	10
68	32	8	40	6	1
69	33	8	41	15	8
70	34	1	35	8	7
71	34	8	42	1	8
72	36	4	40	7	1
73	36	6	42	2	3
74	36	4	40	12	4
75	37	1	38	3	5
76	37	2	39	6	7
77	38	6	44	2	9
78	38	8	46	10	5
79	38	10	48	12	6
80	38	10	48	5	5
81	38	10	48	11	3
82	39	2	41	7	1
83	40	9	49	2	1
84	40	2	42	15	8
85	41	9	50	2	4
86	41	2	43	15	1
87	43	2	45	3	5
88	43	7	50	13	9
89	44	7	51	2	3
90	44	7	51	14	1
91	44	9	53	9	7
92	45	10	55	15	10
93	45	2	47	11	4
94	47	5	52	3	9
95	47	4	51	10	2
96	47	6	53	4	2
97	47	2	49	13	7
98	48	5	53	9	2
99	49	3	52	14	10
100	49	10	59	9	4
101	50	6	56	9	10
102	50	7	57	14	2
103	51	1	52	10	9
104	51	3	54	5	1
105	51	2	53	10	8
106	52	1	53	3	5
107	52	4	56	10	6
108	52	8	60	10	10
109	52	8	60	13	7
110	55	3	58	12	1
111	55	3	58	15	8
112	55	9	64	14	10
113	55	1	56	5	2
114	56	3	59	7	4
115	56	9	65	7	9
116	56	8	64	9	9
117	56	6	62	11	6
118	56	5	61	10	9
119	58	6	64	6	3
120	58	10	68	3	9
121	58	1	59	13	4
122	58	7	65	11	9
123	58	8	66	15	2
124	59	8	67	15	8
125	59	9	68	6	9
126	60	2	62	4	2
127	61	3	64	4	4
128	61	1	62	13	6
129	63	3	66	1	10
130	64	8	72	1	1
131	64	2	66	12	5
132	65	9	74	1	8
133	65	6	71	11	1
134	65	5	70	13	2
135	67	4	71	1	4
136	67	6	73	6	5
137	67	8	75	10	4
138	67	8	75	4	7
139	67	5	72	3	6
140	68	8	76	1	4
141	68	5	73	4	7
142	69	2	71	9	3
143	69	2	71	2	5
144	69	2	71	14	4
145	69	6	75	8	6
146	69	8	77	4	4
147	70	7	77	6	4
148	70	4	74	7	7
149	70	4	74	4	5
150	73	2	75	8	6
151	73	2	75	13	5
152	73	8	81	5	6
153	74	7	81	12	4
154	74	1	75	14	2
155	75	4	79	5	5
156	75	4	79	9	2
157	75	10	85	10	1
158	75	6	81	14	7
159	76	2	78	3	6
160	77	8	85	14	1
161	78	3	81	9	8
162	78	9	87	13	1
163	79	3	82	3	7
164	79	5	84	13	3
165	80	6	86	14	9
166	81	3	84	4	8
167	81	9	90	10	7
168	82	10	92	1	8
169	84	1	85	11	4
170	84	4	88	13	3
171	85	6	91	6	4
172	86	8	94	4	1
173	87	3	90	4	6
174	88	5	93	5	5
175	88	10	98	1	6
176	88	10	98	13	9
177	89	10	99	11	7
178	89	10	99	1	8
179	90	4	94	10	10
180	90	6	96	6	5
181	91	10	101	8	1
182	91	6	97	3	10
183	92	10	102	2	7
184	92	8	100	3	3
185	92	10	102	8	6
186	92	6	98	8	3
187	93	1	94	11	6
188	93	5	98	12	7
189	93	1	94	6	7
190	94	8	102	4	3
191	94	7	101	3	5
192	94	9	103	3	7
193	94	5	99	7	9
194	95	2	97	1	4
195	95	6	101	4	9
196	96	1	97	15	3
197	96	10	106	5	3
198	96	3	99	1	10
199	96	1	97	4	10
200	97	7	104	8	10
201	98	1	99	7	4
202	98	8	106	4	10
203	99	4	103	6	8
204	99	10	109	8	10
205	99	5	104	8	7
206	100	1	101	7	10
207	101	9	110	10	1
208	101	8	109	6	1
209	102	1	103	3	2
210	103	4	107	13	6
211	104	10	114	9	8
212	104	8	112	6	2
213	104	4	108	11	10
214	104	2	106	11	10
215	105	4	109	14	4
216	105	3	108	5	5
217	105	8	113	5	4
218	106	8	114	14	3
219	107	3	110	1	2
220	107	7	114	5	5
221	107	6	113	9	8
222	108	1	109	3	6
223	108	4	112	15	9
224	108	7	115	7	8
225	111	4	115	2	9
226	111	6	117	14	9
227	112	3	115	1	1
228	112	5	117	3	10
229	113	9	122	6	2
230	113	4	117	4	6
231	113	4	117	12	8
232	113	10	123	10	1
233	114	7	121	5	8
234	115	5	120	10	1
235	116	2	118	11	6
236	117	6	123	9	3
237	117	10	127	14	7
238	117	4	121	3	2
239	118	4	122	8	2
240	118	10	128	15	7
241	118	1	119	14	8
242	118	9	127	9	8
243	118	9	127	14	2
244	119	4	123	15	5
245	119	5	124	13	9
246	119	6	125	11	7
247	119	8	127	15	8
248	120	1	121	1	1
249	120	2	122	6	10
250	120	5	125	1	10
251	120	8	128	15	10
252	120	4	124	13	8
253	121	8	129	14	4
254	121	6	127	4	5
255	121	1	122	9	5
256	122	2	124	7	6
257	122	1	123	6	10
258	122	2	124	9	1
259	122	3	125	10	9
260	123	3	126	10	2
261	124	3	127	13	5
262	125	3	128	6	5
263	126	10	136	10	1
264	126	1	127	7	5
265	127	6	133	5	2
266	127	2	129	8	6
267	127	1	128	3	4
268	128	7	135	9	5
269	128	5	133	13	7
270	129	7	136	4	7
271	129	7	136	9	6
272	129	1	130	6	10
273	130	4	134	14	5
274	130	6	136	10	4
275	130	9	139	8	8
276	131	4	135	10	2
277	131	5	136	4	9
278	131	7	138	10	3
279	132	1	133	3	3
280	132	3	135	13	9
281	133	10	143	5	10
282	134	1	135	1	7
283	134	8	142	13	9
284	134	10	144	8	9
285	135	10	145	6	9
286	135	6	141	13	4
287	136	9	145	15	10
288	136	7	143	4	1
289	137	6	143	3	10
290	137	3	140	7	9
291	137	3	140	1	7
292	139	3	142	13	3
293	139	3	142	11	5
294	139	7	146	11	5
295	140	4	144	5	10
296	140	4	144	11	10
297	142	10	152	12	3
298	142	1	143	7	5
299	143	8	151	11	8
300	143	1	144	3	9
