作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	2	2	2	5
2	1	4	5	10	10
3	2	5	7	1	8
4	2	10	12	10	1
5	3	10	13	6	9
6	3	9	12	2	10
7	3	3	6	10	5
8	3	7	10	7	10
9	4	5	9	1	9
10	5	6	11	1	7
11	5	3	8	6	2
12	5	3	8	7	7
13	6	10	16	9	8
14	6	10	16	4	5
15	7	2	9	1	10
16	8	7	15	2	8
17	8	4	12	4	8
18	10	8	18	7	10
19	10	2	12	2	8
20	10	3	13	1	8
21	10	5	15	2	8
22	11	2	13	5	5
23	11	2	13	4	8
24	11	5	16	4	8
25	11	7	18	1	2
26	11	2	13	9	10
27	12	2	14	6	1
28	12	3	15	4	7
29	14	8	22	10	8
30	14	3	17	1	1
31	15	3	18	6	4
32	15	3	18	2	3
33	16	8	24	1	1
34	17	7	24	7	1
35	17	8	25	10	4
36	17	4	21	6	10
37	18	10	28	5	7
38	18	2	20	6	7
39	18	3	21	9	5
40	18	7	25	2	7
41	19	5	24	2	5
42	20	7	27	4	7
43	21	3	24	5	1
44	21	7	28	4	8
45	21	3	24	4	7
46	21	7	28	3	7
47	22	4	26	3	7
48	22	4	26	7	2
49	23	1	24	1	1
50	23	2	25	2	6
51	23	9	32	1	3
52	23	2	25	6	5
53	23	10	33	3	10
54	25	1	26	10	7
55	26	6	32	8	2
56	29	7	36	9	10
57	30	4	34	3	3
58	31	8	39	3	3
59	31	2	33	3	10
60	32	1	33	9	4
61	32	7	39	8	9
62	33	10	43	10	3
63	34	10	44	10	7
64	35	9	44	7	9
65	35	2	37	6	1
66	35	5	40	3	9
67	36	5	41	7	10
68	36	9	45	1	8
69	37	1	38	6	3
70	38	2	40	5	1
71	38	7	45	8	5
72	38	3	41	1	1
73	38	5	43	3	8
74	39	10	49	9	3
75	39	10	49	2	6
76	39	2	41	5	9
77	39	10	49	4	7
78	39	5	44	5	2
79	40	3	43	10	9
80	40	10	50	10	2
81	41	2	43	8	10
82	41	10	51	8	4
83	41	7	48	3	6
84	42	4	46	2	10
85	42	8	50	4	10
86	42	10	52	4	7
87	43	1	44	8	7
88	44	9	53	1	8
89	46	8	54	4	1
90	46	3	49	9	3
91	47	2	49	5	9
92	47	7	54	4	1
93	48	9	57	3	8
94	48	8	56	4	7
95	48	10	58	7	6
96	48	1	49	10	3
97	48	8	56	5	7
98	49	3	52	1	10
99	49	4	53	6	2
100	49	2	51	1	2
101	50	6	56	10	3
102	50	7	57	4	1
103	51	8	59	1	3
104	51	4	55	5	1
105	51	2	53	1	5
106	52	9	61	6	6
107	52	1	53	4	4
108	52	9	61	1	9
109	52	10	62	1	4
110	53	6	59	6	5
111	54	8	62	10	7
112	54	8	62	8	8
113	54	3	57	4	6
114	54	7	61	4	3
115	55	10	65	10	7
116	55	7	62	6	8
117	56	3	59	6	3
118	56	4	60	2	5
119	57	2	59	8	5
120	57	9	66	3	8
121	57	2	59	4	6
122	57	7	64	3	8
123	58	10	68	5	1
124	58	7	65	4	7
125	59	10	69	2	9
126	59	2	61	4	1
127	61	10	71	6	5
128	61	8	69	7	7
129	61	6	67	5	8
