作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	8	8	1	4
2	0	8	8	7	6
3	1	8	9	5	10
4	2	2	4	4	1
5	2	3	5	2	6
6	3	1	4	6	3
7	3	10	13	2	1
8	3	8	11	3	9
9	3	6	9	6	5
10	5	2	7	13	2
11	5	10	15	12	9
12	6	6	12	6	8
13	6	8	14	6	1
14	6	1	7	1	10
15	7	9	16	10	1
16	7	5	12	11	10
17	7	10	17	10	2
18	8	10	18	1	3
19	8	3	11	14	6
20	9	8	17	11	7
21	9	3	12	11	2
22	10	8	18	4	9
23	10	6	16	5	2
24	10	9	19	7	2
25	11	5	16	7	2
26	11	1	12	7	3
27	14	4	18	10	7
28	14	10	24	3	1
29	14	10	24	13	1
30	14	4	18	10	2
31	15	1	16	3	3
32	15	1	16	12	1
33	15	6	21	11	10
34	16	5	21	8	2
35	16	2	18	8	6
36	16	2	18	9	5
37	16	8	24	8	3
38	16	2	18	6	10
39	17	3	20	5	7
40	18	2	20	6	4
41	18	3	21	1	1
42	18	5	23	13	6
43	18	3	21	15	9
44	18	2	20	9	6
45	18	1	19	6	8
46	19	5	24	6	10
47	20	10	30	5	1
48	22	10	32	2	8
49	23	7	30	8	3
50	23	7	30	2	6
51	23	6	29	7	6
52	23	6	29	6	6
53	24	3	27	11	1
54	25	9	34	1	3
55	26	7	33	5	1
56	27	1	28	4	1
57	27	3	30	7	7
58	27	10	37	6	7
59	27	6	33	9	9
60	27	6	33	5	6
