作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	4	4	4	4
2	0	1	1	3	1
3	1	1	2	5	9
4	1	2	3	2	7
5	2	8	10	2	3
6	3	1	4	3	4
7	4	7	11	3	10
8	4	6	10	1	5
9	4	10	14	5	5
10	5	6	11	3	9
11	5	6	11	5	5
12	5	2	7	1	6
13	6	1	7	2	9
14	7	9	16	5	6
15	7	4	11	3	9
16	7	7	14	1	2
17	7	9	16	2	6
18	8	7	15	4	4
19	9	7	16	4	10
20	10	6	16	1	10
21	10	9	19	3	5
22	10	6	16	3	4
23	10	2	12	3	5
24	10	9	19	2	2
25	11	1	12	3	8
26	11	7	18	4	10
27	11	10	21	5	3
28	11	8	19	2	3
29	12	8	20	1	1
30	12	1	13	2	6
31	13	6	19	3	8
32	13	3	16	4	6
33	13	6	19	3	6
34	13	3	16	3	8
35	13	9	22	1	4
36	14	10	24	3	5
37	14	10	24	5	8
38	15	4	19	4	1
39	17	4	21	5	7
40	17	10	27	1	4
41	18	10	28	1	9
42	18	2	20	4	6
43	18	10	28	2	4
44	18	8	26	1	3
45	19	6	25	3	10
46	19	6	25	5	2
47	19	5	24	2	2
48	20	1	21	2	8
49	20	9	29	1	3
50	22	9	31	3	2
51	23	10	33	2	5
52	23	5	28	1	8
53	24	7	31	1	4
54	25	7	32	1	3
55	25	3	28	4	3
56	25	8	33	3	6
57	26	4	30	4	10
58	27	7	34	4	7
59	27	2	29	1	8
60	27	9	36	2	4
