作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	10	10	8	7
2	0	3	3	8	7
3	0	0	0	8	7
4	0	0	0	8	2
5	3	9	12	10	7
6	3	6	9	9	6
7	9	5	14	10	3
8	9	9	18	7	4
9	10	7	17	6	1
10	12	2	14	7	7
11	17	4	21	8	1
12	17	7	24	7	1
13	18	7	25	5	8
14	24	7	31	7	5
15	24	4	28	10	1
16	24	9	33	7	3
17	25	2	27	10	6
18	25	10	35	9	6
19	28	9	37	10	2
20	31	3	34	7	1
21	33	4	37	6	8
22	33	4	37	8	2
23	34	1	35	10	8
24	34	7	41	9	6
25	37	10	47	7	7
26	37	9	46	7	7
27	37	1	38	9	8
28	37	7	44	5	4
29	44	1	45	6	4
30	46	9	55	9	5
