作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	7	7	10	6
2	0	10	10	10	2
3	0	2	2	8	4
4	0	0	0	7	5
5	0	0	0	9	7
6	2	5	7	5	7
7	7	1	8	8	5
8	7	4	11	6	2
9	7	6	13	10	4
10	10	10	20	10	3
11	10	1	11	5	1
12	11	3	14	8	1
13	13	10	23	5	8
14	13	9	22	9	4
15	14	10	24	9	2
16	14	4	18	7	4
17	14	4	18	9	4
18	18	10	28	7	6
19	18	2	20	9	3
20	23	2	25	10	8
21	23	2	25	7	5
22	24	4	28	8	1
23	24	7	31	7	4
24	25	7	32	9	8
25	28	2	30	9	5
26	30	2	32	10	3
27	31	2	33	9	2
28	32	7	39	8	6
29	33	9	42	8	7
30	33	9	42	6	1
