作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	7	6
2	0	6	6	5	2
3	0	4	4	9	6
4	0	0	0	10	6
5	0	0	0	7	4
6	4	4	8	9	5
7	5	5	10	5	1
8	6	4	10	7	7
9	10	8	18	7	6
10	10	5	15	6	1
11	15	5	20	10	4
12	15	7	22	9	2
13	18	1	19	9	8
14	18	8	26	6	5
15	20	10	30	10	5
16	20	2	22	7	7
17	22	7	29	9	7
18	26	1	27	9	2
19	26	6	32	7	2
20	29	10	39	5	6
21	32	6	38	8	2
22	32	5	37	9	6
23	37	7	44	7	2
24	38	10	48	10	4
25	38	7	45	8	1
26	39	8	47	8	1
27	44	8	52	7	5
28	47	10	57	9	8
29	48	3	51	7	3
30	48	10	58	5	1
