作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	7	7	9	5
2	0	0	0	8	7
3	0	0	0	8	6
4	7	10	17	6	1
5	7	4	11	10	5
6	11	1	12	6	3
7	12	4	16	5	3
8	16	4	20	7	2
9	16	6	22	8	5
10	17	6	23	8	2
11	20	8	28	5	2
12	23	6	29	7	2
13	23	2	25	6	3
14	29	8	37	5	1
15	37	4	41	10	8
16	37	7	44	7	8
17	44	6	50	9	1
18	44	1	45	7	2
19	45	9	54	5	4
20	50	3	53	10	6
21	53	9	62	7	5
22	62	6	68	9	4
23	62	2	64	6	5
24	64	8	72	8	4
25	72	1	73	9	8
26	73	6	79	9	6
27	73	8	81	7	2
28	79	4	83	7	2
29	83	1	84	7	5
30	84	4	88	7	2
