作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	10	10	8	4
2	0	3	3	8	8
3	0	0	0	6	3
4	0	0	0	7	2
5	3	9	12	9	1
6	3	6	9	8	2
7	9	5	14	5	2
8	9	9	18	10	2
9	10	7	17	10	6
10	12	2	14	8	6
11	17	4	21	9	3
12	17	7	24	10	6
13	18	7	25	9	7
14	24	7	31	7	1
15	24	4	28	8	7
16	24	9	33	9	5
17	25	2	27	7	6
18	25	10	35	8	5
19	28	9	37	8	8
20	31	3	34	10	2
21	33	4	37	6	6
22	33	4	37	8	5
23	34	1	35	6	3
24	34	7	41	8	2
25	37	10	47	9	2
26	37	9	46	10	3
27	37	1	38	7	7
28	37	7	44	9	7
29	44	1	45	5	8
30	46	9	55	8	6
