作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	3	3	5	1
2	0	1	1	9	3
3	0	0	0	8	3
4	0	0	0	10	6
5	3	4	7	5	2
6	7	7	14	8	4
7	7	8	15	5	1
8	7	8	15	10	7
9	15	9	24	9	6
10	15	4	19	8	2
11	15	1	16	9	3
12	16	9	25	8	2
13	16	6	22	8	5
14	16	2	18	5	8
15	24	5	29	6	6
16	24	8	32	6	7
17	25	10	35	8	8
18	25	8	33	10	1
19	32	1	33	10	6
20	32	2	34	5	7
21	34	3	37	8	7
22	37	10	47	9	3
23	37	2	39	9	6
24	37	7	44	6	6
25	39	5	44	7	2
26	44	5	49	7	1
27	49	10	59	7	2
28	49	8	57	6	5
29	57	3	60	9	8
30	59	10	69	9	1
